booking_id,customer_id,booking_timestamp,booking_value
B000062,C00169,2025-04-23 08:41:00,710
B000063,C00177,2025-10-12 15:26:00,354
B000064,C00178,2026-01-01 11:24:00,1404
B000065,C00180,2026-01-03 15:58:00,1419
B000066,C00185,2025-10-19 08:05:00,1193
B000067,C00189,2025-02-28 19:43:00,612
B000068,C00194,2025-03-17 17:56:00,1300
B000069,C00197,2025-10-28 08:48:00,590
B000070,C00198,2025-10-31 00:04:00,407
B000071,C00200,2025-11-12 03:28:00,719
B000072,C00206,2025-02-01 12:04:00,1177
B000073,C00213,2025-01-26 19:16:00,560
B000074,C00215,2025-07-18 00:27:00,677
B000075,C00223,2025-08-10 18:14:00,1242
B000076,C00227,2025-05-27 22:46:00,588
B000077,C00238,2025-08-30 10:24:00,1192
B000078,C00239,2025-08-16 06:57:00,1247
B000079,C00242,2025-06-30 03:49:00,339
B000080,C00244,2025-12-21 09:53:00,203
B000081,C00246,2025-04-29 00:42:00,904
B000082,C00248,2025-10-02 15:05:00,821
B000083,C00250,2025-12-31 17:22:00,522
B000084,C00257,2025-02-11 06:18:00,1424
B000085,C00258,2025-10-18 01:05:00,504
B000086,C00260,2025-01-20 13:39:00,999
B000087,C00262,2025-12-17 03:37:00,956
B000088,C00265,2025-03-08 02:29:00,518
B000089,C00274,2025-08-12 00:08:00,628
B000090,C00275,2025-05-04 17:48:00,165
B000091,C00276,2025-07-04 09:05:00,966
B000092,C00280,2025-07-08 20:17:00,700
B000093,C00282,2025-01-22 19:49:00,1161
B000094,C00285,2025-11-22 23:43:00,830
B000095,C00287,2025-03-24 22:53:00,1408
B000096,C00288,2025-04-26 17:21:00,688
B000097,C00289,2025-12-09 02:43:00,364
B000098,C00294,2025-02-08 23:15:00,1099
B000099,C00302,2025-02-14 15:37:00,691
B000100,C00303,2025-02-24 14:02:00,1462
B000101,C00304,2026-01-13 07:16:00,1051
B000102,C00306,2025-12-27 14:04:00,493
B000103,C00307,2025-03-02 10:24:00,623
B000104,C00309,2025-11-28 00:04:00,408
B000105,C00310,2025-05-20 21:27:00,796
B000106,C00317,2025-05-23 23:37:00,1316
B000107,C00319,2025-09-23 21:25:00,1404
B000108,C00322,2025-03-10 10:37:00,930
B000109,C00323,2025-04-29 03:50:00,621
B000110,C00335,2025-12-30 04:55:00,1439
B000111,C00342,2025-05-24 18:03:00,366
B000112,C00344,2025-04-08 01:09:00,1113
B000113,C00345,2025-10-17 08:09:00,910
B000114,C00348,2025-02-04 14:29:00,934
B000115,C00349,2025-04-16 20:08:00,256
B000116,C00351,2025-07-31 04:47:00,336
B000117,C00354,2025-06-06 11:13:00,721
B000118,C00355,2025-08-18 16:46:00,670
B000119,C00357,2025-05-27 20:45:00,1480
B000120,C00358,2025-04-23 17:26:00,1487
B000121,C00362,2026-01-12 15:09:00,105
B000122,C00365,2025-07-31 19:00:00,216
B000123,C00371,2025-04-03 22:51:00,484
B000124,C00372,2025-03-28 06:27:00,1489
B000125,C00373,2025-02-26 04:35:00,889
B000126,C00374,2025-12-13 02:25:00,164
B000127,C00382,2025-09-04 19:21:00,775
B000128,C00383,2025-06-20 08:19:00,507
B000129,C00386,2025-02-01 11:07:00,342
B000130,C00387,2025-06-01 16:26:00,1388
B000131,C00391,2025-04-25 17:14:00,832
B000132,C00394,2025-02-07 18:49:00,1389
B000133,C00395,2025-04-15 15:15:00,685
B000134,C00401,2025-03-04 08:35:00,120
B000135,C00402,2025-03-22 21:46:00,818
B000136,C00404,2025-05-09 21:38:00,330
B000137,C00405,2025-01-21 15:05:00,606
B000138,C00407,2025-08-21 08:24:00,1131
B000139,C00412,2025-09-04 07:01:00,156
B000140,C00414,2025-02-18 06:09:00,173
B000141,C00417,2025-02-10 01:36:00,643
B000142,C00425,2025-07-01 16:55:00,1264
B000143,C00427,2025-05-04 04:28:00,1286
B000144,C00428,2025-08-17 10:52:00,984
B000145,C00429,2025-02-26 07:02:00,502
B000146,C00433,2025-08-03 13:19:00,1431
B000147,C00436,2025-06-14 06:59:00,1493
B000148,C00439,2025-05-11 23:12:00,1088
B000149,C00441,2025-09-23 01:09:00,771
B000150,C00444,2025-09-13 07:35:00,1014
B000151,C00447,2025-10-22 20:36:00,577
B000152,C00448,2025-07-05 19:21:00,133
B000153,C00451,2025-07-16 21:52:00,762
B000154,C00453,2025-05-26 03:46:00,915
B000155,C00454,2025-07-26 05:25:00,1432
B000156,C00455,2025-03-16 17:48:00,1480
B000157,C00458,2025-03-12 12:51:00,339
B000158,C00459,2025-07-10 01:18:00,879
B000159,C00460,2025-03-27 20:10:00,113
B000160,C00464,2025-10-01 12:00:00,1125
B000161,C00468,2025-06-01 23:19:00,695
B000162,C00470,2025-11-21 20:43:00,1194
B000163,C00471,2025-05-30 22:19:00,833
B000164,C00474,2025-07-03 11:00:00,101
B000165,C00476,2026-01-06 01:42:00,1082
B000166,C00477,2025-04-14 09:36:00,513
B000167,C00478,2025-12-28 22:18:00,910
B000168,C00484,2025-02-14 13:31:00,724
B000169,C00488,2025-05-25 05:10:00,559
B000170,C00490,2025-03-24 16:38:00,276
B000171,C00492,2025-11-07 12:54:00,230
B000172,C00493,2025-06-06 03:28:00,550
B000173,C00495,2025-06-23 17:28:00,1001
B000174,C00496,2025-05-14 08:37:00,529
B000175,C00497,2025-05-20 18:35:00,669
B000176,C00503,2025-03-07 01:45:00,1046
B000177,C00506,2025-11-05 22:13:00,298
B000178,C00507,2025-05-31 05:59:00,390
B000179,C00508,2025-05-14 21:31:00,139
B000180,C00518,2025-05-08 15:49:00,663
B000181,C00521,2025-10-13 03:37:00,1247
B000182,C00522,2025-04-30 15:27:00,231
B000183,C00523,2026-01-05 10:27:00,833
B000184,C00524,2025-11-05 11:19:00,1126
B000185,C00525,2025-07-29 21:18:00,505
B000186,C00527,2025-06-03 16:49:00,627
B000187,C00530,2025-06-28 16:22:00,212
B000188,C00534,2025-05-22 01:09:00,1342
B000189,C00539,2025-11-10 11:42:00,163
B000190,C00540,2025-09-12 21:12:00,613
B000191,C00544,2025-01-07 23:06:00,265
B000192,C00545,2025-02-16 23:37:00,489
B000193,C00547,2025-03-11 08:56:00,1292
B000194,C00548,2025-08-23 09:22:00,1488
B000195,C00552,2025-09-21 07:22:00,808
B000196,C00553,2025-06-15 16:30:00,1433
B000197,C00559,2025-11-15 17:05:00,1311
B000198,C00561,2025-04-28 11:41:00,172
B000199,C00564,2025-08-23 17:16:00,1104
B000200,C00565,2025-11-21 02:30:00,116
B000201,C00566,2025-11-21 11:04:00,150
B000202,C00568,2025-03-31 21:45:00,670
B000203,C00569,2025-06-22 01:26:00,1409
B000204,C00571,2025-11-15 13:57:00,670
B000205,C00572,2025-05-26 14:15:00,1113
B000206,C00577,2025-05-29 13:31:00,1008
B000207,C00579,2025-02-07 16:58:00,361
B000208,C00586,2025-09-02 03:30:00,1083
B000209,C00587,2025-11-21 10:38:00,774
B000210,C00588,2025-12-31 20:57:00,1227
B000211,C00589,2025-08-11 15:58:00,138
B000212,C00594,2025-05-24 19:59:00,1171
B000213,C00598,2025-07-06 19:56:00,1005
B000214,C00602,2025-08-05 05:13:00,1402
B000215,C00606,2025-10-17 11:02:00,1466
B000216,C00613,2025-06-25 07:23:00,171
B000217,C00614,2025-03-20 22:42:00,1020
B000218,C00616,2025-12-28 21:49:00,715
B000219,C00617,2025-11-22 18:00:00,1174
B000220,C00621,2025-06-26 13:03:00,495
B000221,C00622,2025-08-05 17:04:00,439
B000222,C00623,2025-10-07 07:13:00,172
B000223,C00625,2025-08-25 20:06:00,1395
B000224,C00627,2025-06-22 15:01:00,473
B000225,C00628,2025-08-10 20:57:00,374
B000226,C00631,2025-03-01 08:15:00,648
B000227,C00634,2025-08-26 18:00:00,617
B000228,C00636,2025-09-18 07:49:00,950
B000229,C00638,2025-09-07 02:22:00,378
B000230,C00639,2025-10-29 21:41:00,482
B000231,C00642,2025-02-27 01:01:00,890
B000232,C00644,2025-05-10 23:52:00,664
B000233,C00646,2025-08-28 08:19:00,1397
B000234,C00647,2025-03-26 09:12:00,474
B000235,C00649,2025-05-13 14:32:00,704
B000236,C00650,2025-06-17 15:34:00,1449
B000237,C00651,2025-10-28 22:00:00,803
B000238,C00652,2025-03-29 00:16:00,1082
B000239,C00654,2025-11-05 14:23:00,1186
B000240,C00657,2025-05-05 02:59:00,578
B000241,C00659,2025-07-21 05:49:00,611
B000242,C00661,2025-08-02 18:12:00,637
B000243,C00662,2025-05-25 19:12:00,209
B000244,C00664,2025-12-10 01:16:00,1204
B000245,C00665,2025-11-27 21:51:00,649
B000246,C00667,2025-10-01 18:07:00,837
B000247,C00672,2025-07-18 04:37:00,739
B000248,C00678,2025-02-07 21:41:00,898
B000249,C00679,2026-01-03 19:19:00,368
B000250,C00680,2025-12-27 22:54:00,702
B000251,C00681,2026-01-04 21:42:00,411
B000252,C00684,2025-10-01 03:58:00,144
B000253,C00689,2025-04-22 05:04:00,1269
B000254,C00690,2026-01-06 13:27:00,1206
B000255,C00692,2025-03-03 12:11:00,1495
B000256,C00696,2025-11-14 12:10:00,282
B000257,C00697,2025-07-26 17:08:00,960
B000258,C00701,2025-07-31 16:27:00,161
B000259,C00702,2025-12-06 08:41:00,984
B000260,C00703,2025-11-22 21:10:00,423
B000261,C00706,2025-12-18 05:02:00,452
B000262,C00709,2025-03-12 04:05:00,744
B000263,C00713,2025-03-04 11:53:00,1470
B000264,C00715,2025-11-04 22:33:00,444
B000265,C00730,2025-06-22 16:32:00,1418
B000266,C00732,2025-10-15 09:26:00,359
B000267,C00735,2025-03-26 16:28:00,1222
B000268,C00737,2025-04-26 10:56:00,987
B000269,C00739,2025-09-14 05:56:00,640
B000270,C00752,2025-07-10 11:06:00,685
B000271,C00754,2025-05-08 19:10:00,858
B000272,C00755,2025-02-11 11:37:00,308
B000273,C00757,2025-06-28 12:08:00,1492
B000274,C00758,2025-04-08 02:57:00,528
B000275,C00759,2025-07-07 04:29:00,1072
B000276,C00764,2025-05-04 14:38:00,1284
B000277,C00765,2025-01-13 14:40:00,752
B000278,C00766,2025-04-06 11:17:00,1295
B000279,C00767,2025-03-31 14:43:00,1072
B000280,C00768,2025-05-27 07:41:00,592
B000281,C00769,2025-12-05 00:52:00,226
B000282,C00773,2025-10-06 20:37:00,587
B000283,C00776,2025-05-07 14:17:00,586
B000284,C00777,2025-05-18 18:03:00,1125
B000285,C00778,2025-06-16 09:48:00,1343
B000286,C00785,2026-01-09 04:08:00,722
B000287,C00786,2025-12-21 11:20:00,136
B000288,C00789,2026-01-09 14:51:00,744
B000289,C00792,2025-12-16 11:48:00,1330
B000290,C00794,2025-09-05 09:03:00,206
B000291,C00800,2025-04-20 08:34:00,919
B000292,C00805,2025-08-10 14:28:00,466
B000293,C00806,2025-12-23 15:23:00,1337
B000294,C00808,2025-10-17 16:18:00,363
B000295,C00811,2025-05-02 02:35:00,374
B000296,C00813,2025-05-17 22:26:00,1330
B000297,C00817,2025-01-13 07:13:00,1216
B000298,C00820,2025-01-14 09:52:00,190
B000299,C00821,2025-06-02 22:58:00,1281
B000300,C00824,2026-01-13 01:52:00,628
B000301,C00828,2025-12-01 11:05:00,647
B000302,C00830,2025-09-21 22:30:00,1093
B000303,C00833,2025-03-13 20:39:00,408
B000304,C00835,2025-03-25 14:04:00,970
B000305,C00843,2025-12-22 01:57:00,1162
B000306,C00844,2025-12-26 18:17:00,706
B000307,C00846,2025-10-03 08:26:00,1409
B000308,C00852,2025-12-07 01:17:00,1089
B000309,C00858,2025-03-20 11:11:00,583
B000310,C00859,2025-02-07 06:37:00,836
B000311,C00860,2025-07-16 20:37:00,1239
B000312,C00864,2025-05-20 11:38:00,513
B000313,C00867,2025-08-15 16:31:00,405
B000314,C00869,2025-11-30 20:02:00,1055
B000315,C00871,2025-05-22 11:25:00,504
B000316,C00872,2025-09-22 22:02:00,1081
B000317,C00876,2025-10-25 08:20:00,543
B000318,C00877,2025-01-13 22:58:00,1425
B000319,C00880,2025-05-26 20:52:00,1277
B000320,C00881,2025-02-03 09:48:00,1215
B000321,C00889,2025-03-21 11:42:00,917
B000322,C00890,2025-03-14 19:03:00,257
B000323,C00891,2025-07-28 06:01:00,1110
B000324,C00893,2025-04-06 23:55:00,624
B000325,C00895,2025-05-06 02:52:00,1430
B000326,C00900,2025-10-31 07:43:00,1002
B000327,C00903,2025-05-14 13:59:00,121
B000328,C00908,2025-10-07 13:19:00,761
B000329,C00912,2025-05-02 23:30:00,530
B000330,C00916,2025-01-19 04:00:00,1336
B000331,C00923,2025-12-13 04:04:00,524
B000332,C00927,2025-01-27 16:30:00,564
B000333,C00929,2026-01-04 08:45:00,710
B000334,C00933,2025-08-24 14:39:00,1263
B000335,C00935,2025-01-11 17:25:00,205
B000336,C00936,2025-09-22 21:51:00,320
B000337,C00942,2025-01-12 03:21:00,950
B000338,C00943,2025-05-30 12:09:00,165
B000339,C00946,2025-11-11 11:14:00,1282
B000340,C00947,2025-07-27 01:40:00,234
B000341,C00949,2025-10-05 03:54:00,1344
B000342,C00960,2025-09-17 05:25:00,699
B000343,C00963,2025-09-30 10:33:00,1395
B000344,C00965,2025-02-11 03:01:00,1204
B000345,C00967,2025-11-09 15:09:00,687
B000346,C00972,2025-10-23 09:03:00,136
B000347,C00978,2025-08-22 22:42:00,1431
B000348,C00979,2026-01-13 10:42:00,1223
B000349,C00981,2025-07-08 16:44:00,1176
B000350,C00982,2025-12-07 13:17:00,1004
B000351,C00984,2025-03-16 09:17:00,275
B000352,C00985,2025-10-01 01:22:00,401
B000353,C00986,2025-03-18 05:35:00,991
B000354,C00987,2025-07-25 22:14:00,547
B000355,C00988,2025-12-20 07:58:00,421
B000356,C00991,2025-06-05 14:32:00,1416
B000357,C00992,2025-01-18 12:46:00,580
B000358,C00994,2025-10-30 00:48:00,663
B000359,C00996,2025-03-17 00:35:00,1378
B000360,C00998,2025-04-29 14:50:00,1358
B000361,C01001,2025-07-22 11:29:00,983
B000362,C01003,2025-05-12 17:09:00,829
B000363,C01006,2025-11-08 23:31:00,775
B000364,C01007,2025-11-07 08:37:00,548
B000365,C01008,2025-12-28 09:13:00,678
B000366,C01010,2025-03-01 06:14:00,1120
B000367,C01015,2025-11-20 08:58:00,347
B000368,C01016,2025-06-26 15:45:00,456
B000369,C01017,2025-04-20 19:14:00,595
B000370,C01018,2025-12-14 06:16:00,959
B000371,C01021,2025-08-08 21:54:00,1172
B000372,C01027,2025-08-13 00:11:00,1091
B000373,C01029,2025-01-08 17:56:00,607
B000374,C01035,2025-10-19 16:37:00,317
B000375,C01036,2025-12-22 12:57:00,920
B000376,C01039,2025-12-18 15:17:00,704
B000377,C01041,2025-06-13 14:40:00,423
B000378,C01045,2025-03-24 16:36:00,955
B000379,C01047,2026-01-07 03:00:00,307
B000380,C01052,2025-07-25 12:36:00,1446
B000381,C01056,2025-12-05 12:49:00,952
B000382,C01057,2025-05-31 18:56:00,370
B000383,C01061,2025-10-30 03:15:00,476
B000384,C01062,2025-04-29 14:22:00,370
B000385,C01066,2025-12-16 08:53:00,1045
B000386,C01067,2025-10-08 06:47:00,363
B000387,C01068,2025-11-28 13:06:00,1104
B000388,C01069,2025-02-03 02:04:00,1231
B000389,C01070,2025-06-03 18:17:00,468
B000390,C01075,2025-10-22 01:56:00,676
B000391,C01077,2025-07-03 16:00:00,366
B000392,C01079,2025-08-19 21:39:00,1360
B000393,C01080,2025-10-07 13:12:00,634
B000394,C01081,2025-08-18 04:45:00,947
B000395,C01083,2025-11-18 20:06:00,813
B000396,C01085,2025-08-24 06:32:00,133
B000397,C01087,2025-07-28 11:42:00,725
B000398,C01089,2025-05-07 20:32:00,866
B000399,C01093,2025-05-27 13:31:00,669
B000400,C01095,2025-12-07 01:25:00,1102
B000401,C01096,2025-02-21 06:05:00,1130
B000402,C01101,2025-01-10 00:16:00,574
B000403,C01103,2025-03-19 05:30:00,865
B000404,C01106,2025-05-21 19:51:00,986
B000405,C01110,2025-05-29 02:51:00,592
B000406,C01112,2025-09-15 14:52:00,920
B000407,C01114,2025-07-12 17:08:00,206
B000408,C01118,2025-02-26 14:11:00,921
B000409,C01119,2025-03-05 18:35:00,1092
B000410,C01123,2025-03-20 05:28:00,567
B000411,C01130,2025-04-14 18:32:00,115
B000412,C01132,2025-05-17 07:33:00,432
B000413,C01133,2025-11-08 13:00:00,315
B000414,C01135,2025-02-19 16:08:00,778
B000415,C01136,2025-03-27 13:59:00,1419
B000416,C01138,2025-01-26 17:13:00,849
B000417,C01139,2025-09-24 15:21:00,1112
B000418,C01141,2025-10-18 02:45:00,317
B000419,C01142,2025-04-03 03:24:00,1346
B000420,C01144,2025-07-01 06:58:00,615
B000421,C01145,2025-07-01 19:53:00,609
B000422,C01146,2025-05-02 12:17:00,168
B000423,C01154,2025-05-14 07:42:00,755
B000424,C01155,2026-01-05 18:51:00,282
B000425,C01159,2025-03-30 20:43:00,786
B000426,C01160,2025-08-16 23:54:00,226
B000427,C01161,2025-08-17 06:11:00,1328
B000428,C01166,2025-10-17 08:52:00,355
B000429,C01170,2025-10-26 08:50:00,700
B000430,C01171,2025-04-05 23:09:00,752
B000431,C01173,2025-11-09 05:34:00,1100
B000432,C01175,2025-02-14 13:29:00,765
B000433,C01176,2025-12-26 00:30:00,961
B000434,C01177,2025-08-16 19:15:00,1055
B000435,C01181,2025-03-01 07:12:00,345
B000436,C01184,2025-06-30 08:25:00,469
B000437,C01194,2025-08-10 05:08:00,432
B000438,C01200,2025-01-27 18:35:00,350
B000439,C01202,2025-08-15 00:11:00,582
B000440,C01205,2025-07-06 05:49:00,920
B000441,C01209,2025-06-26 09:05:00,1282
B000442,C01214,2025-08-04 03:24:00,317
B000443,C01216,2025-10-22 15:38:00,313
B000444,C01221,2025-12-29 00:39:00,478
B000445,C01224,2025-09-23 01:12:00,146
B000446,C01226,2025-01-12 02:51:00,447
B000447,C01228,2025-12-26 21:53:00,365
B000448,C01232,2025-12-20 10:04:00,604
B000449,C01233,2025-06-24 08:32:00,961
B000450,C01234,2025-02-23 21:54:00,862
B000451,C01238,2025-06-20 04:22:00,1492
B000452,C01239,2025-04-02 15:47:00,743
B000453,C01243,2025-07-28 06:40:00,1029
B000454,C01246,2025-11-07 12:17:00,752
B000455,C01247,2025-05-28 18:11:00,1453
B000456,C01248,2025-08-09 05:47:00,459
B000457,C01249,2025-12-17 17:19:00,343
B000458,C01260,2025-03-16 22:25:00,1293
B000459,C01261,2025-05-05 19:55:00,910
B000460,C01265,2025-04-23 04:47:00,107
B000461,C01266,2025-06-05 13:41:00,1414
B000462,C01268,2025-04-17 17:33:00,670
B000463,C01270,2025-11-21 00:20:00,776
B000464,C01272,2026-01-04 13:25:00,1170
B000465,C01273,2025-10-26 23:49:00,980
B000466,C01276,2025-07-08 10:05:00,512
B000467,C01277,2025-04-07 19:26:00,192
B000468,C01278,2025-05-07 05:53:00,838
B000469,C01280,2025-11-04 01:26:00,1173
B000470,C01283,2025-02-28 23:52:00,1495
B000471,C01286,2025-03-29 05:45:00,807
B000472,C01294,2025-07-14 13:14:00,947
B000473,C01296,2025-12-17 23:51:00,910
B000474,C01298,2025-08-11 06:02:00,1231
B000475,C01299,2025-02-20 05:09:00,779
B000476,C01303,2025-03-30 07:40:00,525
B000477,C01305,2025-04-08 14:47:00,959
B000478,C01306,2025-04-03 09:27:00,742
B000479,C01309,2025-04-15 21:52:00,734
B000480,C01310,2025-05-22 09:06:00,910
B000481,C01311,2025-11-21 01:28:00,908
B000482,C01318,2025-02-02 03:56:00,1475
B000483,C01328,2025-11-16 11:07:00,1219
B000484,C01330,2025-02-17 16:03:00,251
B000485,C01331,2025-05-05 14:45:00,687
B000486,C01332,2025-04-07 01:44:00,1333
B000487,C01334,2025-07-28 08:20:00,969
B000488,C01335,2025-12-06 17:36:00,1402
B000489,C01337,2025-08-05 06:41:00,111
B000490,C01339,2025-07-15 05:13:00,230
B000491,C01342,2025-04-04 19:43:00,1261
B000492,C01344,2025-01-17 23:36:00,909
B000493,C01347,2025-09-26 13:07:00,1271
B000494,C01351,2025-09-22 18:44:00,833
B000495,C01354,2025-04-18 10:41:00,142
B000496,C01358,2025-11-12 10:30:00,905
B000497,C01359,2026-01-10 00:01:00,345
B000498,C01363,2025-12-28 07:04:00,812
B000499,C01371,2025-05-12 17:03:00,917
B000500,C01372,2025-12-23 09:43:00,1222
B000501,C01376,2025-01-05 23:54:00,445
B000502,C01378,2025-11-09 08:02:00,269
B000503,C01379,2025-11-29 13:30:00,1165
B000504,C01384,2025-07-23 11:23:00,454
B000505,C01385,2025-01-16 12:35:00,643
B000506,C01386,2025-07-06 16:13:00,731
B000507,C01387,2025-11-16 21:43:00,244
B000508,C01390,2025-07-06 01:04:00,491
B000509,C01391,2025-04-23 01:19:00,945
B000510,C01393,2025-06-23 03:42:00,1493
B000511,C01394,2025-09-28 09:58:00,1413
B000512,C01395,2025-05-11 09:51:00,891
B000513,C01397,2025-11-05 18:17:00,750
B000514,C01399,2025-02-07 13:29:00,1133
B000515,C01402,2025-07-14 08:49:00,293
B000516,C01403,2025-11-17 16:04:00,583
B000517,C01404,2025-08-30 22:39:00,1416
B000518,C01405,2025-11-28 00:30:00,351
B000519,C01406,2025-07-25 13:17:00,972
B000520,C01411,2025-03-31 02:18:00,184
B000521,C01413,2025-09-20 13:33:00,443
B000522,C01415,2025-03-07 09:11:00,969
B000523,C01416,2025-01-21 23:07:00,772
B000524,C01423,2025-08-21 08:10:00,1404
B000525,C01426,2025-10-13 19:10:00,955
B000526,C01427,2025-09-07 10:44:00,1494
B000527,C01430,2025-07-26 02:11:00,252
B000528,C01431,2025-04-09 06:52:00,1382
B000529,C01432,2026-01-12 16:47:00,342
B000530,C01434,2025-07-01 20:01:00,1169
B000531,C01437,2025-05-23 18:29:00,326
B000532,C01443,2025-05-26 07:27:00,502
B000533,C01446,2025-01-21 09:32:00,1024
B000534,C01448,2025-11-07 14:51:00,1393
B000535,C01456,2025-09-23 22:52:00,498
B000536,C01458,2025-12-06 02:00:00,827
B000537,C01462,2025-09-22 00:36:00,275
B000538,C01464,2025-05-31 18:48:00,1379
B000539,C01465,2025-03-20 15:26:00,412
B000540,C01466,2025-05-07 18:18:00,768
B000541,C01470,2025-02-24 09:13:00,1051
B000542,C01474,2025-04-24 08:38:00,300
B000543,C01481,2025-04-09 22:29:00,479
B000544,C01485,2025-09-17 05:18:00,1045
B000545,C01491,2025-08-04 18:44:00,213
B000546,C01495,2025-02-13 22:00:00,618
B000547,C01498,2025-12-11 23:03:00,525
B000548,C01507,2025-05-15 11:52:00,274
B000549,C01515,2025-11-05 09:20:00,716
B000550,C01516,2025-09-14 18:35:00,1079
B000551,C01517,2025-09-01 08:41:00,383
B000552,C01522,2025-08-01 17:25:00,1347
B000553,C01526,2025-11-11 12:25:00,789
B000554,C01529,2025-02-16 13:36:00,1250
B000555,C01533,2025-08-20 19:08:00,1223
B000556,C01536,2025-08-15 14:04:00,122
B000557,C01537,2025-04-01 16:52:00,899
B000558,C01540,2025-04-11 20:34:00,257
B000559,C01541,2025-09-13 05:04:00,1185
B000560,C01549,2025-08-14 00:40:00,1494
B000561,C01554,2025-12-02 09:31:00,904
B000562,C01556,2025-03-10 21:58:00,1078
B000563,C01559,2025-08-06 15:55:00,1168
B000564,C01562,2025-12-07 23:07:00,870
B000565,C01567,2025-10-31 17:48:00,461
B000566,C01568,2025-02-05 16:47:00,616
B000567,C01571,2025-06-10 10:32:00,325
B000568,C01574,2025-11-01 07:52:00,1491
B000569,C01575,2025-03-13 14:13:00,1473
B000570,C01576,2026-01-03 08:19:00,1474
B000571,C01579,2025-09-26 11:20:00,1388
B000572,C01580,2025-12-30 20:19:00,829
B000573,C01581,2025-01-22 06:27:00,158
B000574,C01584,2025-05-28 11:05:00,522
B000575,C01588,2025-11-19 14:24:00,664
B000576,C01592,2025-09-13 21:26:00,350
B000577,C01596,2025-07-14 17:47:00,1248
B000578,C01597,2025-12-16 23:08:00,1002
B000579,C01602,2025-11-01 08:56:00,1187
B000580,C01610,2025-08-11 02:36:00,998
B000581,C01612,2025-01-29 10:47:00,315
B000582,C01615,2025-04-29 00:04:00,998
B000583,C01617,2025-10-27 06:29:00,1385
B000584,C01622,2025-08-14 00:42:00,252
B000585,C01623,2025-05-11 13:10:00,934
B000586,C01625,2025-03-13 20:52:00,401
B000587,C01626,2025-11-06 15:29:00,1474
B000588,C01631,2025-08-05 05:43:00,876
B000589,C01633,2025-07-19 13:54:00,1480
B000590,C01640,2025-08-19 20:20:00,432
B000591,C01646,2025-04-11 18:37:00,1417
B000592,C01653,2025-08-11 02:02:00,387
B000593,C01659,2025-03-15 06:34:00,1131
B000594,C01663,2025-04-11 05:07:00,840
B000595,C01664,2025-09-12 00:09:00,197
B000596,C01666,2025-08-04 06:13:00,232
B000597,C01669,2025-12-07 10:34:00,341
B000598,C01670,2025-08-11 05:54:00,511
