customer_id,country,signup_date,acquisition_campaign_id
C00079,Indonesia,2025-06-07,
C00080,Singapore,2025-05-04,CMP003
C00081,Indonesia,2025-02-10,
C00082,Thailand,2025-09-06,
C00083,Thailand,2025-09-30,CMP005
C00084,Thailand,2025-03-07,
C00085,Indonesia,2025-10-09,
C00086,Singapore,2025-09-28,
C00087,Singapore,2025-08-05,CMP001
C00088,Thailand,2025-10-04,CMP003
C00089,Indonesia,2025-12-20,
C00090,Indonesia,2025-06-09,CMP002
C00091,Thailand,2025-12-10,
C00092,Singapore,2025-08-13,CMP001
C00093,Indonesia,2025-08-20,
C00094,Indonesia,2025-04-26,CMP001
C00095,Indonesia,2025-01-11,
C00096,Indonesia,2025-04-28,
C00097,Indonesia,2025-01-04,
C00098,Indonesia,2025-11-20,CMP001
C00099,Singapore,2025-02-04,CMP003
C00100,Indonesia,2025-06-19,
C00101,Indonesia,2025-05-02,
C00102,Indonesia,2025-09-06,CMP001
C00103,Thailand,2025-03-09,CMP004
C00104,Indonesia,2025-10-20,CMP003
C00105,Thailand,2025-05-05,
C00106,Indonesia,2025-07-28,
C00107,Thailand,2025-02-19,
C00108,Indonesia,2025-07-01,CMP003
C00109,Singapore,2025-08-28,
C00110,Thailand,2025-01-28,
C00111,Indonesia,2025-11-27,
C00112,Thailand,2025-07-26,
C00113,Indonesia,2025-02-25,
C00114,Indonesia,2025-04-08,
C00115,Indonesia,2025-03-13,CMP003
C00116,Indonesia,2025-05-23,CMP001
C00117,Indonesia,2025-02-08,
C00118,Indonesia,2025-10-09,CMP003
C00119,Singapore,2025-11-30,CMP005
C00120,Singapore,2025-01-08,CMP005
C00121,Indonesia,2025-05-02,CMP003
C00122,Indonesia,2025-09-06,CMP001
C00123,Singapore,2025-07-25,CMP003
C00124,Indonesia,2025-03-26,CMP003
C00125,Indonesia,2025-07-19,CMP005
C00126,Indonesia,2025-08-21,
C00127,Singapore,2025-12-23,
C00128,Thailand,2025-10-12,CMP003
C00129,Indonesia,2025-09-07,CMP001
C00130,Indonesia,2025-06-01,
C00131,Indonesia,2025-01-30,
C00132,Indonesia,2025-10-05,CMP001
C00133,Indonesia,2025-06-10,
C00134,Indonesia,2025-10-27,CMP001
C00135,Indonesia,2025-09-29,CMP004
C00136,Indonesia,2025-09-18,CMP002
C00137,Indonesia,2025-04-06,CMP001
C00138,Thailand,2025-02-04,
C00139,Indonesia,2025-05-01,
C00140,Indonesia,2025-10-19,
C00141,Indonesia,2025-11-01,
C00142,Indonesia,2025-02-11,CMP001
C00143,Indonesia,2025-10-26,CMP001
C00144,Singapore,2025-06-11,
C00145,Thailand,2025-04-15,
C00146,Indonesia,2025-06-10,
C00147,Indonesia,2025-07-22,CMP003
C00148,Indonesia,2025-11-27,
C00149,Singapore,2025-06-11,
C00150,Indonesia,2025-02-07,
C00151,Singapore,2025-11-15,
C00152,Indonesia,2025-02-21,
C00153,Indonesia,2025-04-20,
C00154,Singapore,2025-03-09,CMP004
C00155,Singapore,2025-02-05,CMP002
C00156,Indonesia,2025-07-09,
C00157,Thailand,2025-08-13,CMP001
C00158,Indonesia,2025-12-27,
C00159,Indonesia,2025-12-01,
C00160,Thailand,2025-12-08,
C00161,Singapore,2025-06-03,CMP004
C00162,Singapore,2025-02-23,CMP001
C00163,Indonesia,2025-03-10,
C00164,Thailand,2025-02-24,CMP001
C00165,Indonesia,2025-03-21,CMP002
C00166,Indonesia,2025-11-06,CMP004
C00167,Indonesia,2025-06-25,
C00168,Singapore,2025-11-21,
C00169,Indonesia,2025-09-16,CMP001
C00170,Indonesia,2025-01-27,CMP005
C00171,Thailand,2025-08-05,
C00172,Indonesia,2025-01-23,
C00173,Thailand,2025-03-08,CMP002
C00174,Indonesia,2025-05-15,
C00175,Indonesia,2025-08-15,CMP004
C00176,Indonesia,2025-08-07,
C00177,Indonesia,2025-02-27,CMP005
C00178,Singapore,2025-12-20,
C00179,Indonesia,2025-10-07,
C00180,Indonesia,2025-07-09,
C00181,Indonesia,2025-03-17,
C00182,Indonesia,2025-01-22,CMP003
C00183,Singapore,2025-01-21,
C00184,Thailand,2025-04-18,
C00185,Indonesia,2025-12-08,
C00186,Singapore,2025-10-14,
C00187,Singapore,2025-07-28,
C00188,Singapore,2025-03-21,CMP004
C00189,Singapore,2025-05-02,
C00190,Singapore,2025-04-01,CMP001
C00191,Indonesia,2025-01-13,
C00192,Thailand,2025-06-20,CMP002
C00193,Thailand,2025-07-30,
C00194,Indonesia,2025-05-08,CMP002
C00195,Indonesia,2025-12-26,
C00196,Singapore,2025-01-20,CMP005
C00197,Indonesia,2025-04-24,CMP001
C00198,Indonesia,2025-08-24,
C00199,Indonesia,2025-04-27,
C00200,Indonesia,2025-12-04,CMP001
C00201,Indonesia,2025-06-18,
C00202,Singapore,2025-02-05,
C00203,Indonesia,2025-05-23,
C00204,Indonesia,2025-09-18,CMP001
C00205,Indonesia,2025-10-02,
C00206,Indonesia,2025-01-15,CMP004
C00207,Indonesia,2025-05-14,
C00208,Indonesia,2025-05-16,
C00209,Indonesia,2025-11-02,CMP001
C00210,Indonesia,2025-06-10,CMP002
C00211,Indonesia,2025-09-19,CMP005
C00212,Indonesia,2025-10-23,CMP002
C00213,Thailand,2025-01-23,CMP002
C00214,Indonesia,2025-01-01,
C00215,Thailand,2025-10-03,CMP002
C00216,Indonesia,2025-12-10,
C00217,Indonesia,2025-08-09,
C00218,Singapore,2025-12-07,
C00219,Indonesia,2025-11-16,CMP001
C00220,Thailand,2025-03-05,
C00221,Indonesia,2025-06-03,
C00222,Indonesia,2025-12-08,
C00223,Thailand,2025-07-26,
C00224,Indonesia,2025-10-11,CMP001
C00225,Thailand,2025-08-04,
C00226,Thailand,2025-07-14,CMP004
C00227,Thailand,2025-03-31,CMP001
C00228,Indonesia,2025-06-04,
C00229,Indonesia,2025-01-01,CMP004
C00230,Indonesia,2025-04-18,
C00231,Thailand,2025-10-24,
C00232,Indonesia,2025-06-14,
C00233,Thailand,2025-08-15,
C00234,Indonesia,2025-09-19,
C00235,Thailand,2025-03-28,
C00236,Indonesia,2025-05-26,
C00237,Thailand,2025-11-21,
C00238,Thailand,2025-02-17,CMP003
C00239,Thailand,2025-05-01,CMP001
C00240,Thailand,2025-04-26,
C00241,Indonesia,2025-03-17,
C00242,Singapore,2025-05-06,
C00243,Thailand,2025-11-09,CMP001
C00244,Indonesia,2025-02-07,
C00245,Indonesia,2025-11-19,
C00246,Indonesia,2025-12-23,
C00247,Indonesia,2025-07-24,
C00248,Thailand,2025-12-02,CMP001
C00249,Thailand,2025-02-24,
C00250,Indonesia,2025-04-23,CMP004
C00251,Indonesia,2025-12-23,
C00252,Indonesia,2025-01-26,
C00253,Indonesia,2025-03-04,
C00254,Thailand,2025-08-26,
C00255,Indonesia,2025-10-14,
C00256,Thailand,2025-08-15,
C00257,Indonesia,2025-09-16,
C00258,Indonesia,2025-10-08,CMP005
C00259,Thailand,2025-03-23,
C00260,Indonesia,2025-09-01,CMP002
C00261,Thailand,2025-05-07,
C00262,Thailand,2025-05-22,CMP005
C00263,Indonesia,2025-09-24,CMP001
C00264,Indonesia,2025-05-03,
C00265,Thailand,2025-02-09,CMP004
C00266,Indonesia,2025-05-01,
C00267,Singapore,2025-06-13,
C00268,Indonesia,2025-02-11,
C00269,Indonesia,2025-04-29,
C00270,Thailand,2025-03-20,
C00271,Indonesia,2025-02-02,
C00272,Indonesia,2025-06-19,CMP003
C00273,Indonesia,2025-08-01,CMP004
C00274,Indonesia,2025-08-04,CMP003
C00275,Singapore,2025-10-27,CMP002
C00276,Singapore,2025-01-11,CMP001
C00277,Indonesia,2025-10-22,CMP004
C00278,Singapore,2025-01-04,
C00279,Thailand,2025-06-02,CMP004
C00280,Indonesia,2025-08-03,CMP002
C00281,Thailand,2025-10-07,
C00282,Indonesia,2025-04-23,CMP004
C00283,Indonesia,2025-05-20,
C00284,Indonesia,2025-01-15,
C00285,Thailand,2025-12-09,
C00286,Thailand,2025-07-27,
C00287,Singapore,2025-08-28,CMP004
C00288,Indonesia,2025-11-15,CMP001
C00289,Indonesia,2025-07-21,CMP003
C00290,Indonesia,2025-12-06,
C00291,Indonesia,2025-11-26,
C00292,Indonesia,2025-08-25,
C00293,Indonesia,2025-05-14,CMP002
C00294,Indonesia,2025-04-19,CMP003
C00295,Thailand,2025-06-22,
C00296,Indonesia,2025-07-14,
C00297,Indonesia,2025-08-04,CMP002
C00298,Indonesia,2025-02-11,CMP001
C00299,Indonesia,2025-10-04,
C00300,Indonesia,2025-06-29,
C00301,Thailand,2025-02-05,
C00302,Indonesia,2025-11-30,CMP001
C00303,Singapore,2025-01-16,CMP002
C00304,Thailand,2025-04-13,CMP002
C00305,Indonesia,2025-11-15,
C00306,Indonesia,2025-03-06,CMP001
C00307,Indonesia,2025-02-28,CMP002
C00308,Indonesia,2025-04-22,
C00309,Thailand,2025-05-12,
C00310,Thailand,2025-03-27,CMP003
C00311,Thailand,2025-02-28,
C00312,Singapore,2025-03-25,CMP001
C00313,Indonesia,2025-02-25,
C00314,Indonesia,2025-06-09,
C00315,Indonesia,2025-07-12,
C00316,Indonesia,2025-04-12,
C00317,Thailand,2025-12-20,
C00318,Indonesia,2025-05-05,
C00319,Singapore,2025-06-04,
C00320,Thailand,2025-11-04,CMP001
C00321,Thailand,2025-10-17,
C00322,Indonesia,2025-06-27,CMP001
C00323,Indonesia,2025-12-05,
C00324,Thailand,2025-09-17,CMP001
C00325,Thailand,2025-01-07,
C00326,Indonesia,2025-09-08,
C00327,Thailand,2025-07-05,CMP005
C00328,Thailand,2025-08-24,
C00329,Indonesia,2025-08-11,CMP003
C00330,Singapore,2025-09-25,
C00331,Thailand,2025-05-19,
C00332,Thailand,2025-10-03,
C00333,Indonesia,2025-08-27,
C00334,Indonesia,2025-10-31,
C00335,Thailand,2025-05-06,CMP001
C00336,Indonesia,2025-02-14,
C00337,Indonesia,2025-08-19,
C00338,Indonesia,2025-08-26,
C00339,Indonesia,2025-12-09,
C00340,Indonesia,2025-01-15,CMP004
C00341,Indonesia,2025-06-16,
C00342,Indonesia,2025-04-19,CMP001
C00343,Indonesia,2025-05-13,
C00344,Thailand,2025-11-02,CMP003
C00345,Indonesia,2025-05-22,CMP002
C00346,Singapore,2025-09-22,
C00347,Indonesia,2025-02-13,
C00348,Indonesia,2025-07-28,CMP003
C00349,Thailand,2025-05-04,CMP003
C00350,Thailand,2025-11-27,CMP001
C00351,Thailand,2025-08-18,
C00352,Indonesia,2025-02-17,CMP003
C00353,Thailand,2025-07-27,CMP003
C00354,Thailand,2025-06-06,CMP001
C00355,Indonesia,2025-07-08,CMP002
C00356,Indonesia,2025-09-29,CMP002
C00357,Indonesia,2025-10-09,
C00358,Indonesia,2025-12-26,
C00359,Indonesia,2025-06-06,
C00360,Thailand,2025-03-03,
C00361,Indonesia,2025-06-11,
C00362,Singapore,2025-10-02,CMP001
C00363,Indonesia,2025-12-20,
C00364,Thailand,2025-04-21,CMP004
C00365,Thailand,2025-05-22,CMP002
C00366,Indonesia,2025-09-26,
C00367,Thailand,2025-02-21,
C00368,Indonesia,2025-06-01,
C00369,Indonesia,2025-04-02,
C00370,Indonesia,2025-12-29,
C00371,Indonesia,2025-05-21,CMP001
C00372,Indonesia,2025-01-28,CMP002
C00373,Singapore,2025-12-24,
C00374,Singapore,2025-11-23,CMP001
C00375,Indonesia,2025-09-09,
C00376,Indonesia,2025-01-07,
C00377,Indonesia,2025-08-29,
C00378,Indonesia,2025-06-24,CMP004
C00379,Indonesia,2025-01-27,
C00380,Indonesia,2025-09-02,
C00381,Indonesia,2025-02-03,
C00382,Indonesia,2025-02-07,CMP001
C00383,Indonesia,2025-12-18,
C00384,Thailand,2025-03-18,
C00385,Indonesia,2025-06-05,
C00386,Indonesia,2025-05-08,
C00387,Thailand,2025-08-02,CMP004
C00388,Indonesia,2025-11-13,CMP001
C00389,Indonesia,2025-09-25,
C00390,Indonesia,2025-08-15,
C00391,Singapore,2025-10-29,CMP005
C00392,Indonesia,2025-06-06,
C00393,Thailand,2025-01-31,CMP001
C00394,Singapore,2025-02-20,CMP001
C00395,Thailand,2025-04-17,CMP001
C00396,Thailand,2025-05-16,CMP001
C00397,Indonesia,2025-03-22,
C00398,Indonesia,2025-10-10,
C00399,Indonesia,2025-01-02,CMP001
C00400,Indonesia,2025-12-19,CMP001
C00401,Indonesia,2025-05-30,CMP003
C00402,Thailand,2025-05-28,CMP001
C00403,Singapore,2025-12-26,
C00404,Thailand,2025-02-06,
C00405,Thailand,2025-05-16,CMP001
C00406,Indonesia,2025-11-17,CMP004
C00407,Indonesia,2025-04-12,CMP002
C00408,Indonesia,2025-10-06,
C00409,Singapore,2025-03-18,
C00410,Indonesia,2025-03-14,
C00411,Thailand,2025-03-26,CMP003
C00412,Thailand,2025-11-01,CMP001
C00413,Singapore,2025-10-19,
C00414,Indonesia,2025-08-13,CMP001
C00415,Indonesia,2025-12-19,
C00416,Singapore,2025-07-26,
C00417,Indonesia,2025-09-14,CMP001
C00418,Indonesia,2025-08-13,
C00419,Singapore,2025-01-21,
C00420,Thailand,2025-06-15,
C00421,Indonesia,2025-01-14,
C00422,Thailand,2025-12-12,
C00423,Indonesia,2025-10-22,
C00424,Singapore,2025-01-11,CMP002
C00425,Thailand,2025-12-11,
C00426,Indonesia,2025-10-23,CMP004
C00427,Indonesia,2025-03-31,CMP002
C00428,Indonesia,2025-11-30,CMP001
C00429,Indonesia,2025-05-23,CMP004
C00430,Indonesia,2025-10-27,
C00431,Singapore,2025-09-09,
C00432,Indonesia,2025-08-29,
C00433,Indonesia,2025-06-20,CMP001
C00434,Singapore,2025-02-23,CMP001
C00435,Indonesia,2025-06-18,
C00436,Indonesia,2025-09-11,CMP003
C00437,Thailand,2025-07-25,CMP003
C00438,Indonesia,2025-10-09,
C00439,Indonesia,2025-02-15,CMP002
C00440,Indonesia,2025-06-15,
C00441,Singapore,2025-07-26,CMP002
C00442,Thailand,2025-01-01,
C00443,Indonesia,2025-10-05,CMP002
C00444,Indonesia,2025-01-28,CMP003
C00445,Thailand,2025-07-05,
C00446,Thailand,2025-09-13,
C00447,Indonesia,2025-01-27,CMP003
C00448,Indonesia,2025-10-09,CMP003
C00449,Indonesia,2025-05-28,
C00450,Indonesia,2025-12-24,
C00451,Singapore,2025-01-15,CMP004
C00452,Thailand,2025-11-08,
C00453,Indonesia,2025-12-30,
C00454,Indonesia,2025-10-10,CMP001
C00455,Indonesia,2025-07-28,CMP001
C00456,Indonesia,2025-02-28,CMP001
C00457,Thailand,2025-03-02,
C00458,Indonesia,2025-03-20,CMP002
C00459,Indonesia,2025-05-30,CMP001
C00460,Indonesia,2025-05-20,CMP001
C00461,Singapore,2025-09-05,
C00462,Indonesia,2025-05-05,
C00463,Indonesia,2025-03-16,
C00464,Indonesia,2025-11-03,CMP004
C00465,Singapore,2025-03-11,
C00466,Thailand,2025-05-22,CMP001
C00467,Indonesia,2025-08-01,
C00468,Indonesia,2025-09-17,CMP002
C00469,Indonesia,2025-01-02,
C00470,Thailand,2025-06-02,CMP005
C00471,Singapore,2025-10-24,CMP001
C00472,Singapore,2025-09-08,
C00473,Indonesia,2025-08-17,CMP002
C00474,Indonesia,2025-06-26,CMP004
C00475,Indonesia,2025-10-06,
C00476,Singapore,2025-06-14,CMP003
C00477,Indonesia,2025-12-24,
C00478,Indonesia,2025-07-16,CMP001
C00479,Indonesia,2025-07-30,
C00480,Thailand,2025-08-31,
C00481,Indonesia,2025-07-15,
C00482,Thailand,2025-12-06,CMP001
C00483,Singapore,2025-11-30,
C00484,Singapore,2025-09-11,CMP002
C00485,Indonesia,2025-03-06,
C00486,Indonesia,2025-10-30,
C00487,Singapore,2025-02-21,
C00488,Indonesia,2025-08-14,
C00489,Indonesia,2025-08-22,
C00490,Indonesia,2025-03-15,CMP001
C00491,Singapore,2025-12-02,
C00492,Indonesia,2025-02-08,CMP002
C00493,Indonesia,2025-05-16,CMP003
C00494,Indonesia,2025-12-21,
C00495,Singapore,2025-02-11,CMP002
C00496,Singapore,2025-12-12,
C00497,Singapore,2025-07-14,CMP004
C00498,Thailand,2025-11-17,
C00499,Singapore,2025-09-07,CMP001
C00500,Thailand,2025-01-19,CMP004
C00501,Thailand,2025-05-01,
C00502,Singapore,2025-05-28,CMP002
C00503,Indonesia,2025-02-16,CMP001
C00504,Thailand,2025-02-20,
C00505,Singapore,2025-12-27,
C00506,Indonesia,2025-08-16,CMP002
C00507,Singapore,2025-06-03,CMP003
C00508,Indonesia,2025-01-24,CMP003
C00509,Indonesia,2025-01-29,
C00510,Indonesia,2025-07-11,CMP003
C00511,Indonesia,2025-05-06,CMP005
C00512,Thailand,2025-10-17,CMP003
C00513,Indonesia,2025-04-03,
C00514,Thailand,2025-02-10,
C00515,Thailand,2025-07-15,
C00516,Indonesia,2025-05-04,CMP001
C00517,Indonesia,2025-10-26,
C00518,Thailand,2025-08-25,CMP004
C00519,Indonesia,2025-08-24,CMP002
C00520,Singapore,2025-01-05,
C00521,Singapore,2025-08-27,CMP002
C00522,Indonesia,2025-12-13,
C00523,Indonesia,2025-02-07,CMP001
C00524,Singapore,2025-06-26,CMP001
C00525,Thailand,2025-06-03,CMP004
C00526,Thailand,2025-08-06,
C00527,Thailand,2025-08-22,CMP001
C00528,Singapore,2025-04-12,
C00529,Indonesia,2025-09-05,CMP005
C00530,Indonesia,2025-07-15,CMP004
C00531,Indonesia,2025-10-22,
C00532,Indonesia,2025-12-25,
C00533,Indonesia,2025-12-04,
C00534,Indonesia,2025-01-05,CMP005
C00535,Thailand,2025-12-18,
C00536,Singapore,2025-01-26,
C00537,Thailand,2025-09-12,
C00538,Thailand,2025-05-27,
C00539,Thailand,2025-04-28,CMP003
C00540,Indonesia,2025-06-30,CMP004
C00541,Thailand,2025-04-08,
C00542,Thailand,2025-12-14,
C00543,Thailand,2025-12-04,
C00544,Thailand,2025-03-12,CMP003
C00545,Thailand,2025-11-18,
C00546,Thailand,2025-06-08,
C00547,Indonesia,2025-01-18,CMP002
C00548,Indonesia,2025-03-09,CMP003
C00549,Indonesia,2025-06-01,CMP004
C00550,Indonesia,2025-08-01,
C00551,Thailand,2025-03-09,
C00552,Indonesia,2025-07-07,CMP004
C00553,Thailand,2025-05-20,CMP001
C00554,Singapore,2025-05-12,
C00555,Singapore,2025-09-04,
C00556,Thailand,2025-06-01,CMP001
C00557,Thailand,2025-06-23,
C00558,Singapore,2025-08-28,
C00559,Thailand,2025-03-14,CMP003
C00560,Singapore,2025-04-26,
C00561,Singapore,2025-12-12,
C00562,Indonesia,2025-10-13,CMP002
C00563,Indonesia,2025-07-22,
C00564,Indonesia,2025-10-02,CMP004
C00565,Thailand,2025-07-08,CMP002
C00566,Indonesia,2025-12-11,
C00567,Thailand,2025-07-15,
C00568,Indonesia,2025-07-10,CMP004
C00569,Indonesia,2025-04-30,CMP005
C00570,Singapore,2025-11-14,
C00571,Indonesia,2025-10-15,CMP002
C00572,Indonesia,2025-11-09,CMP002
C00573,Thailand,2025-02-02,
C00574,Singapore,2025-08-26,
C00575,Thailand,2025-06-04,
C00576,Indonesia,2025-03-01,CMP003
C00577,Indonesia,2025-01-20,CMP004
C00578,Indonesia,2025-09-10,CMP002
C00579,Singapore,2025-05-01,CMP003
C00580,Indonesia,2025-03-11,
C00581,Thailand,2025-07-09,CMP002
C00582,Singapore,2025-12-23,
C00583,Indonesia,2025-08-03,
C00584,Singapore,2025-03-21,
C00585,Indonesia,2025-12-02,CMP001
C00586,Thailand,2025-09-08,CMP001
C00587,Indonesia,2025-05-24,CMP001
C00588,Indonesia,2025-07-09,CMP005
C00589,Singapore,2025-08-16,
C00590,Indonesia,2025-07-05,
C00591,Indonesia,2025-12-18,
C00592,Indonesia,2025-11-27,
C00593,Indonesia,2025-07-23,
C00594,Singapore,2025-03-04,CMP004
C00595,Indonesia,2025-08-21,CMP004
C00596,Thailand,2025-04-19,
C00597,Singapore,2025-11-02,
C00598,Thailand,2025-01-26,CMP002
C00599,Singapore,2025-05-05,
C00600,Indonesia,2025-10-17,
C00601,Indonesia,2025-10-11,CMP001
C00602,Thailand,2025-04-21,CMP002
C00603,Indonesia,2025-04-30,
C00604,Thailand,2025-03-17,CMP001
C00605,Indonesia,2025-11-02,
C00606,Singapore,2025-03-16,CMP001
C00607,Indonesia,2025-10-04,
C00608,Indonesia,2025-03-31,
C00609,Indonesia,2025-01-14,CMP004
C00610,Thailand,2025-07-03,
C00611,Indonesia,2025-05-02,
C00612,Indonesia,2025-01-09,CMP003
C00613,Indonesia,2025-01-27,
C00614,Indonesia,2025-08-04,CMP001
C00615,Indonesia,2025-02-02,
C00616,Indonesia,2025-07-05,CMP003
C00617,Indonesia,2025-02-25,CMP004
C00618,Singapore,2025-04-24,CMP001
C00619,Thailand,2025-01-23,
C00620,Indonesia,2025-12-04,
C00621,Thailand,2025-08-23,CMP001
C00622,Indonesia,2025-01-16,CMP004
C00623,Thailand,2025-09-03,CMP002
C00624,Thailand,2025-08-07,CMP003
C00625,Thailand,2025-09-09,CMP004
C00626,Indonesia,2025-08-16,
C00627,Indonesia,2025-02-11,CMP003
C00628,Indonesia,2025-03-17,CMP003
C00629,Thailand,2025-05-21,
C00630,Indonesia,2025-10-27,
C00631,Indonesia,2025-06-16,CMP005
C00632,Indonesia,2025-11-02,
C00633,Indonesia,2025-08-21,
C00634,Indonesia,2025-08-09,CMP005
C00635,Indonesia,2025-12-26,
C00636,Thailand,2025-12-02,CMP003
C00637,Thailand,2025-10-10,
C00638,Indonesia,2025-04-21,
C00639,Indonesia,2025-04-27,CMP004
C00640,Indonesia,2025-08-21,CMP002
C00641,Indonesia,2025-02-18,CMP004
C00642,Thailand,2025-06-10,CMP002
C00643,Singapore,2025-07-11,
C00644,Singapore,2025-12-18,CMP004
C00645,Indonesia,2025-02-04,
C00646,Indonesia,2025-02-13,
C00647,Thailand,2025-02-19,
C00648,Thailand,2025-07-10,CMP001
C00649,Indonesia,2025-10-12,CMP004
C00650,Indonesia,2025-10-15,CMP001
C00651,Indonesia,2025-12-10,
C00652,Singapore,2025-07-01,CMP004
C00653,Singapore,2025-08-05,
C00654,Singapore,2025-01-27,CMP001
C00655,Indonesia,2025-11-04,CMP004
C00656,Indonesia,2025-02-23,
C00657,Indonesia,2025-04-19,CMP001
C00658,Indonesia,2025-09-04,CMP003
C00659,Indonesia,2025-02-25,CMP005
C00660,Indonesia,2025-10-12,
C00661,Indonesia,2025-05-23,
C00662,Thailand,2025-08-08,CMP001
C00663,Thailand,2025-11-15,
C00664,Indonesia,2025-11-26,CMP004
C00665,Singapore,2025-11-08,CMP003
C00666,Indonesia,2025-12-22,
C00667,Indonesia,2025-04-03,CMP002
C00668,Singapore,2025-06-08,
C00669,Indonesia,2025-06-29,CMP003
C00670,Indonesia,2025-03-15,CMP003
C00671,Indonesia,2025-07-25,
C00672,Singapore,2025-11-21,CMP005
C00673,Thailand,2025-02-16,CMP004
C00674,Indonesia,2025-04-21,
C00675,Indonesia,2025-08-21,
C00676,Indonesia,2025-07-09,CMP002
C00677,Thailand,2025-06-16,
C00678,Indonesia,2025-10-18,CMP005
C00679,Indonesia,2025-01-27,
C00680,Indonesia,2025-11-13,CMP004
C00681,Indonesia,2025-02-11,CMP001
C00682,Indonesia,2025-12-05,
C00683,Indonesia,2025-11-07,
C00684,Indonesia,2025-05-20,CMP005
C00685,Indonesia,2025-09-20,
C00686,Indonesia,2025-08-09,
C00687,Thailand,2025-12-14,
C00688,Indonesia,2025-09-07,
C00689,Indonesia,2025-06-07,
C00690,Singapore,2025-07-22,CMP004
C00691,Indonesia,2025-01-29,
C00692,Singapore,2025-06-04,CMP004
C00693,Thailand,2025-03-12,CMP003
C00694,Indonesia,2025-05-29,
C00695,Indonesia,2025-01-04,
C00696,Indonesia,2025-08-09,CMP002
C00697,Indonesia,2025-07-14,CMP002
C00698,Indonesia,2025-04-28,
C00699,Thailand,2025-12-09,
C00700,Indonesia,2025-02-06,CMP004
C00701,Indonesia,2025-01-22,CMP001
C00702,Singapore,2025-08-24,CMP001
C00703,Indonesia,2025-06-10,
C00704,Indonesia,2025-10-21,
C00705,Indonesia,2025-11-24,CMP001
C00706,Indonesia,2025-02-28,CMP001
C00707,Indonesia,2025-06-16,
C00708,Indonesia,2025-11-13,CMP002
C00709,Singapore,2025-12-20,
C00710,Indonesia,2025-02-15,
C00711,Indonesia,2025-02-24,
C00712,Indonesia,2025-10-29,
C00713,Indonesia,2025-02-10,CMP003
C00714,Thailand,2025-06-08,
C00715,Indonesia,2025-04-24,CMP004
C00716,Indonesia,2025-03-28,CMP004
C00717,Indonesia,2025-11-21,
