customer_id,country,signup_date,journey_type
C00188,Singapore,2025-03-21,non_converter
C00189,Singapore,2025-05-02,converter
C00190,Singapore,2025-04-01,non_converter
C00191,Indonesia,2025-01-13,non_converter
C00192,Thailand,2025-06-20,non_converter
C00193,Thailand,2025-07-30,non_converter
C00194,Indonesia,2025-05-08,converter
C00195,Indonesia,2025-12-26,non_converter
C00196,Singapore,2025-01-20,non_converter
C00197,Indonesia,2025-04-24,converter
C00198,Indonesia,2025-08-24,converter
C00199,Indonesia,2025-04-27,non_converter
C00200,Indonesia,2025-12-04,converter
C00201,Indonesia,2025-06-18,non_converter
C00202,Singapore,2025-02-05,no_touchpoint
C00203,Indonesia,2025-05-23,no_touchpoint
C00204,Indonesia,2025-09-18,non_converter
C00205,Indonesia,2025-10-02,no_touchpoint
C00206,Indonesia,2025-01-15,converter
C00207,Indonesia,2025-05-14,no_touchpoint
C00208,Indonesia,2025-05-16,no_touchpoint
C00209,Indonesia,2025-11-02,non_converter
C00210,Indonesia,2025-06-10,non_converter
C00211,Indonesia,2025-09-19,non_converter
C00212,Indonesia,2025-10-23,non_converter
C00213,Thailand,2025-01-23,converter
C00214,Indonesia,2025-01-01,non_converter
C00215,Thailand,2025-10-03,converter
C00216,Indonesia,2025-12-10,no_touchpoint
C00217,Indonesia,2025-08-09,non_converter
C00218,Singapore,2025-12-07,non_converter
C00219,Indonesia,2025-11-16,non_converter
C00220,Thailand,2025-03-05,non_converter
C00221,Indonesia,2025-06-03,non_converter
C00222,Indonesia,2025-12-08,no_touchpoint
C00223,Thailand,2025-07-26,converter
C00224,Indonesia,2025-10-11,non_converter
C00225,Thailand,2025-08-04,no_touchpoint
C00226,Thailand,2025-07-14,non_converter
C00227,Thailand,2025-03-31,converter
C00228,Indonesia,2025-06-04,non_converter
C00229,Indonesia,2025-01-01,non_converter
C00230,Indonesia,2025-04-18,no_touchpoint
C00231,Thailand,2025-10-24,no_touchpoint
C00232,Indonesia,2025-06-14,no_touchpoint
C00233,Thailand,2025-08-15,non_converter
C00234,Indonesia,2025-09-19,no_touchpoint
C00235,Thailand,2025-03-28,no_touchpoint
C00236,Indonesia,2025-05-26,non_converter
C00237,Thailand,2025-11-21,no_touchpoint
C00238,Thailand,2025-02-17,converter
C00239,Thailand,2025-05-01,converter
C00240,Thailand,2025-04-26,non_converter
C00241,Indonesia,2025-03-17,no_touchpoint
C00242,Singapore,2025-05-06,converter
C00243,Thailand,2025-11-09,non_converter
C00244,Indonesia,2025-02-07,converter
C00245,Indonesia,2025-11-19,no_touchpoint
C00246,Indonesia,2025-12-23,converter
C00247,Indonesia,2025-07-24,non_converter
C00248,Thailand,2025-12-02,converter
C00249,Thailand,2025-02-24,no_touchpoint
C00250,Indonesia,2025-04-23,converter
C00251,Indonesia,2025-12-23,no_touchpoint
C00252,Indonesia,2025-01-26,no_touchpoint
C00253,Indonesia,2025-03-04,non_converter
C00254,Thailand,2025-08-26,no_touchpoint
C00255,Indonesia,2025-10-14,non_converter
C00256,Thailand,2025-08-15,no_touchpoint
C00257,Indonesia,2025-09-16,converter
C00258,Indonesia,2025-10-08,converter
C00259,Thailand,2025-03-23,non_converter
C00260,Indonesia,2025-09-01,converter
C00261,Thailand,2025-05-07,non_converter
C00262,Thailand,2025-05-22,converter
C00263,Indonesia,2025-09-24,non_converter
C00264,Indonesia,2025-05-03,non_converter
C00265,Thailand,2025-02-09,converter
C00266,Indonesia,2025-05-01,no_touchpoint
C00267,Singapore,2025-06-13,non_converter
C00268,Indonesia,2025-02-11,no_touchpoint
C00269,Indonesia,2025-04-29,no_touchpoint
C00270,Thailand,2025-03-20,no_touchpoint
C00271,Indonesia,2025-02-02,no_touchpoint
C00272,Indonesia,2025-06-19,non_converter
C00273,Indonesia,2025-08-01,non_converter
C00274,Indonesia,2025-08-04,converter
C00275,Singapore,2025-10-27,converter
C00276,Singapore,2025-01-11,converter
C00277,Indonesia,2025-10-22,non_converter
C00278,Singapore,2025-01-04,non_converter
C00279,Thailand,2025-06-02,non_converter
C00280,Indonesia,2025-08-03,converter
C00281,Thailand,2025-10-07,no_touchpoint
C00282,Indonesia,2025-04-23,converter
C00283,Indonesia,2025-05-20,non_converter
C00284,Indonesia,2025-01-15,no_touchpoint
C00285,Thailand,2025-12-09,converter
C00286,Thailand,2025-07-27,non_converter
C00287,Singapore,2025-08-28,converter
C00288,Indonesia,2025-11-15,converter
C00289,Indonesia,2025-07-21,converter
C00290,Indonesia,2025-12-06,no_touchpoint
C00291,Indonesia,2025-11-26,non_converter
C00292,Indonesia,2025-08-25,no_touchpoint
C00293,Indonesia,2025-05-14,non_converter
C00294,Indonesia,2025-04-19,converter
C00295,Thailand,2025-06-22,non_converter
C00296,Indonesia,2025-07-14,no_touchpoint
C00297,Indonesia,2025-08-04,non_converter
C00298,Indonesia,2025-02-11,non_converter
C00299,Indonesia,2025-10-04,non_converter
C00300,Indonesia,2025-06-29,non_converter
C00301,Thailand,2025-02-05,non_converter
C00302,Indonesia,2025-11-30,converter
C00303,Singapore,2025-01-16,converter
C00304,Thailand,2025-04-13,converter
C00305,Indonesia,2025-11-15,non_converter
C00306,Indonesia,2025-03-06,converter
C00307,Indonesia,2025-02-28,converter
C00308,Indonesia,2025-04-22,non_converter
C00309,Thailand,2025-05-12,converter
C00310,Thailand,2025-03-27,converter
C00311,Thailand,2025-02-28,no_touchpoint
C00312,Singapore,2025-03-25,non_converter
C00313,Indonesia,2025-02-25,non_converter
C00314,Indonesia,2025-06-09,non_converter
C00315,Indonesia,2025-07-12,non_converter
C00316,Indonesia,2025-04-12,non_converter
C00317,Thailand,2025-12-20,converter
C00318,Indonesia,2025-05-05,non_converter
C00319,Singapore,2025-06-04,converter
C00320,Thailand,2025-11-04,non_converter
C00321,Thailand,2025-10-17,non_converter
C00322,Indonesia,2025-06-27,converter
C00323,Indonesia,2025-12-05,converter
C00324,Thailand,2025-09-17,non_converter
C00325,Thailand,2025-01-07,no_touchpoint
C00326,Indonesia,2025-09-08,non_converter
C00327,Thailand,2025-07-05,non_converter
C00328,Thailand,2025-08-24,no_touchpoint
C00329,Indonesia,2025-08-11,non_converter
C00330,Singapore,2025-09-25,non_converter
C00331,Thailand,2025-05-19,non_converter
C00332,Thailand,2025-10-03,no_touchpoint
C00333,Indonesia,2025-08-27,no_touchpoint
C00334,Indonesia,2025-10-31,no_touchpoint
C00335,Thailand,2025-05-06,converter
C00336,Indonesia,2025-02-14,no_touchpoint
C00337,Indonesia,2025-08-19,non_converter
C00338,Indonesia,2025-08-26,no_touchpoint
C00339,Indonesia,2025-12-09,non_converter
C00340,Indonesia,2025-01-15,non_converter
C00341,Indonesia,2025-06-16,no_touchpoint
C00342,Indonesia,2025-04-19,converter
C00343,Indonesia,2025-05-13,non_converter
C00344,Thailand,2025-11-02,converter
C00345,Indonesia,2025-05-22,converter
C00346,Singapore,2025-09-22,non_converter
C00347,Indonesia,2025-02-13,no_touchpoint
C00348,Indonesia,2025-07-28,converter
C00349,Thailand,2025-05-04,converter
C00350,Thailand,2025-11-27,non_converter
C00351,Thailand,2025-08-18,converter
C00352,Indonesia,2025-02-17,non_converter
C00353,Thailand,2025-07-27,non_converter
C00354,Thailand,2025-06-06,converter
C00355,Indonesia,2025-07-08,converter
C00356,Indonesia,2025-09-29,non_converter
C00357,Indonesia,2025-10-09,converter
C00358,Indonesia,2025-12-26,converter
C00359,Indonesia,2025-06-06,no_touchpoint
C00360,Thailand,2025-03-03,non_converter
C00361,Indonesia,2025-06-11,non_converter
C00362,Singapore,2025-10-02,converter
C00363,Indonesia,2025-12-20,no_touchpoint
C00364,Thailand,2025-04-21,non_converter
C00365,Thailand,2025-05-22,converter
C00366,Indonesia,2025-09-26,non_converter
C00367,Thailand,2025-02-21,non_converter
C00368,Indonesia,2025-06-01,non_converter
C00369,Indonesia,2025-04-02,non_converter
C00370,Indonesia,2025-12-29,no_touchpoint
C00371,Indonesia,2025-05-21,converter
C00372,Indonesia,2025-01-28,converter
C00373,Singapore,2025-12-24,converter
C00374,Singapore,2025-11-23,converter
C00375,Indonesia,2025-09-09,no_touchpoint
C00376,Indonesia,2025-01-07,non_converter
C00377,Indonesia,2025-08-29,no_touchpoint
C00378,Indonesia,2025-06-24,non_converter
C00379,Indonesia,2025-01-27,non_converter
C00380,Indonesia,2025-09-02,non_converter
C00381,Indonesia,2025-02-03,non_converter
C00382,Indonesia,2025-02-07,converter
C00383,Indonesia,2025-12-18,converter
C00384,Thailand,2025-03-18,non_converter
C00385,Indonesia,2025-06-05,no_touchpoint
C00386,Indonesia,2025-05-08,converter
C00387,Thailand,2025-08-02,converter
C00388,Indonesia,2025-11-13,non_converter
C00389,Indonesia,2025-09-25,non_converter
C00390,Indonesia,2025-08-15,non_converter
C00391,Singapore,2025-10-29,converter
C00392,Indonesia,2025-06-06,non_converter
C00393,Thailand,2025-01-31,non_converter
C00394,Singapore,2025-02-20,converter
C00395,Thailand,2025-04-17,converter
C00396,Thailand,2025-05-16,non_converter
C00397,Indonesia,2025-03-22,non_converter
C00398,Indonesia,2025-10-10,non_converter
C00399,Indonesia,2025-01-02,non_converter
C00400,Indonesia,2025-12-19,non_converter
C00401,Indonesia,2025-05-30,converter
C00402,Thailand,2025-05-28,converter
C00403,Singapore,2025-12-26,non_converter
C00404,Thailand,2025-02-06,converter
C00405,Thailand,2025-05-16,converter
C00406,Indonesia,2025-11-17,non_converter
C00407,Indonesia,2025-04-12,converter
C00408,Indonesia,2025-10-06,non_converter
C00409,Singapore,2025-03-18,non_converter
C00410,Indonesia,2025-03-14,non_converter
C00411,Thailand,2025-03-26,non_converter
C00412,Thailand,2025-11-01,converter
C00413,Singapore,2025-10-19,non_converter
C00414,Indonesia,2025-08-13,converter
C00415,Indonesia,2025-12-19,non_converter
C00416,Singapore,2025-07-26,non_converter
C00417,Indonesia,2025-09-14,converter
C00418,Indonesia,2025-08-13,no_touchpoint
C00419,Singapore,2025-01-21,non_converter
C00420,Thailand,2025-06-15,non_converter
C00421,Indonesia,2025-01-14,no_touchpoint
C00422,Thailand,2025-12-12,non_converter
C00423,Indonesia,2025-10-22,non_converter
C00424,Singapore,2025-01-11,non_converter
C00425,Thailand,2025-12-11,converter
C00426,Indonesia,2025-10-23,non_converter
C00427,Indonesia,2025-03-31,converter
C00428,Indonesia,2025-11-30,converter
C00429,Indonesia,2025-05-23,converter
C00430,Indonesia,2025-10-27,non_converter
C00431,Singapore,2025-09-09,no_touchpoint
C00432,Indonesia,2025-08-29,non_converter
C00433,Indonesia,2025-06-20,converter
C00434,Singapore,2025-02-23,non_converter
C00435,Indonesia,2025-06-18,non_converter
C00436,Indonesia,2025-09-11,converter
C00437,Thailand,2025-07-25,non_converter
C00438,Indonesia,2025-10-09,non_converter
C00439,Indonesia,2025-02-15,converter
C00440,Indonesia,2025-06-15,no_touchpoint
C00441,Singapore,2025-07-26,converter
C00442,Thailand,2025-01-01,non_converter
C00443,Indonesia,2025-10-05,non_converter
C00444,Indonesia,2025-01-28,converter
C00445,Thailand,2025-07-05,no_touchpoint
C00446,Thailand,2025-09-13,non_converter
C00447,Indonesia,2025-01-27,converter
C00448,Indonesia,2025-10-09,converter
C00449,Indonesia,2025-05-28,non_converter
C00450,Indonesia,2025-12-24,non_converter
C00451,Singapore,2025-01-15,converter
C00452,Thailand,2025-11-08,non_converter
C00453,Indonesia,2025-12-30,converter
C00454,Indonesia,2025-10-10,converter
C00455,Indonesia,2025-07-28,converter
C00456,Indonesia,2025-02-28,non_converter
C00457,Thailand,2025-03-02,non_converter
C00458,Indonesia,2025-03-20,converter
C00459,Indonesia,2025-05-30,converter
C00460,Indonesia,2025-05-20,converter
C00461,Singapore,2025-09-05,non_converter
C00462,Indonesia,2025-05-05,non_converter
C00463,Indonesia,2025-03-16,non_converter
C00464,Indonesia,2025-11-03,converter
C00465,Singapore,2025-03-11,no_touchpoint
C00466,Thailand,2025-05-22,non_converter
C00467,Indonesia,2025-08-01,non_converter
C00468,Indonesia,2025-09-17,converter
C00469,Indonesia,2025-01-02,non_converter
C00470,Thailand,2025-06-02,converter
C00471,Singapore,2025-10-24,converter
C00472,Singapore,2025-09-08,no_touchpoint
C00473,Indonesia,2025-08-17,non_converter
C00474,Indonesia,2025-06-26,converter
C00475,Indonesia,2025-10-06,no_touchpoint
C00476,Singapore,2025-06-14,converter
C00477,Indonesia,2025-12-24,converter
C00478,Indonesia,2025-07-16,converter
C00479,Indonesia,2025-07-30,no_touchpoint
C00480,Thailand,2025-08-31,no_touchpoint
C00481,Indonesia,2025-07-15,non_converter
C00482,Thailand,2025-12-06,non_converter
C00483,Singapore,2025-11-30,no_touchpoint
C00484,Singapore,2025-09-11,converter
C00485,Indonesia,2025-03-06,non_converter
C00486,Indonesia,2025-10-30,no_touchpoint
C00487,Singapore,2025-02-21,non_converter
C00488,Indonesia,2025-08-14,converter
C00489,Indonesia,2025-08-22,non_converter
C00490,Indonesia,2025-03-15,converter
C00491,Singapore,2025-12-02,non_converter
C00492,Indonesia,2025-02-08,converter
C00493,Indonesia,2025-05-16,converter
C00494,Indonesia,2025-12-21,non_converter
C00495,Singapore,2025-02-11,converter
C00496,Singapore,2025-12-12,converter
C00497,Singapore,2025-07-14,converter
C00498,Thailand,2025-11-17,no_touchpoint
C00499,Singapore,2025-09-07,non_converter
C00500,Thailand,2025-01-19,non_converter
C00501,Thailand,2025-05-01,no_touchpoint
C00502,Singapore,2025-05-28,non_converter
C00503,Indonesia,2025-02-16,converter
C00504,Thailand,2025-02-20,no_touchpoint
C00505,Singapore,2025-12-27,non_converter
C00506,Indonesia,2025-08-16,converter
C00507,Singapore,2025-06-03,converter
C00508,Indonesia,2025-01-24,converter
C00509,Indonesia,2025-01-29,non_converter
C00510,Indonesia,2025-07-11,non_converter
C00511,Indonesia,2025-05-06,non_converter
C00512,Thailand,2025-10-17,non_converter
C00513,Indonesia,2025-04-03,non_converter
C00514,Thailand,2025-02-10,non_converter
C00515,Thailand,2025-07-15,no_touchpoint
C00516,Indonesia,2025-05-04,non_converter
C00517,Indonesia,2025-10-26,no_touchpoint
C00518,Thailand,2025-08-25,converter
C00519,Indonesia,2025-08-24,non_converter
C00520,Singapore,2025-01-05,no_touchpoint
C00521,Singapore,2025-08-27,converter
C00522,Indonesia,2025-12-13,converter
C00523,Indonesia,2025-02-07,converter
C00524,Singapore,2025-06-26,converter
C00525,Thailand,2025-06-03,converter
C00526,Thailand,2025-08-06,no_touchpoint
C00527,Thailand,2025-08-22,converter
C00528,Singapore,2025-04-12,non_converter
C00529,Indonesia,2025-09-05,non_converter
C00530,Indonesia,2025-07-15,converter
C00531,Indonesia,2025-10-22,no_touchpoint
C00532,Indonesia,2025-12-25,no_touchpoint
C00533,Indonesia,2025-12-04,no_touchpoint
C00534,Indonesia,2025-01-05,converter
C00535,Thailand,2025-12-18,no_touchpoint
C00536,Singapore,2025-01-26,no_touchpoint
C00537,Thailand,2025-09-12,non_converter
C00538,Thailand,2025-05-27,non_converter
C00539,Thailand,2025-04-28,converter
C00540,Indonesia,2025-06-30,converter
C00541,Thailand,2025-04-08,no_touchpoint
C00542,Thailand,2025-12-14,no_touchpoint
C00543,Thailand,2025-12-04,non_converter
C00544,Thailand,2025-03-12,converter
C00545,Thailand,2025-11-18,converter
C00546,Thailand,2025-06-08,no_touchpoint
C00547,Indonesia,2025-01-18,converter
C00548,Indonesia,2025-03-09,converter
C00549,Indonesia,2025-06-01,non_converter
C00550,Indonesia,2025-08-01,non_converter
C00551,Thailand,2025-03-09,no_touchpoint
C00552,Indonesia,2025-07-07,converter
C00553,Thailand,2025-05-20,converter
C00554,Singapore,2025-05-12,no_touchpoint
C00555,Singapore,2025-09-04,no_touchpoint
C00556,Thailand,2025-06-01,non_converter
C00557,Thailand,2025-06-23,non_converter
C00558,Singapore,2025-08-28,no_touchpoint
C00559,Thailand,2025-03-14,converter
C00560,Singapore,2025-04-26,no_touchpoint
C00561,Singapore,2025-12-12,converter
C00562,Indonesia,2025-10-13,non_converter
C00563,Indonesia,2025-07-22,no_touchpoint
C00564,Indonesia,2025-10-02,converter
C00565,Thailand,2025-07-08,converter
C00566,Indonesia,2025-12-11,converter
C00567,Thailand,2025-07-15,non_converter
C00568,Indonesia,2025-07-10,converter
C00569,Indonesia,2025-04-30,converter
C00570,Singapore,2025-11-14,non_converter
C00571,Indonesia,2025-10-15,converter
C00572,Indonesia,2025-11-09,converter
C00573,Thailand,2025-02-02,non_converter
C00574,Singapore,2025-08-26,non_converter
C00575,Thailand,2025-06-04,no_touchpoint
C00576,Indonesia,2025-03-01,non_converter
C00577,Indonesia,2025-01-20,converter
C00578,Indonesia,2025-09-10,non_converter
C00579,Singapore,2025-05-01,converter
C00580,Indonesia,2025-03-11,no_touchpoint
C00581,Thailand,2025-07-09,non_converter
C00582,Singapore,2025-12-23,non_converter
C00583,Indonesia,2025-08-03,no_touchpoint
C00584,Singapore,2025-03-21,non_converter
C00585,Indonesia,2025-12-02,non_converter
C00586,Thailand,2025-09-08,converter
C00587,Indonesia,2025-05-24,converter
C00588,Indonesia,2025-07-09,converter
C00589,Singapore,2025-08-16,converter
C00590,Indonesia,2025-07-05,non_converter
C00591,Indonesia,2025-12-18,non_converter
C00592,Indonesia,2025-11-27,non_converter
C00593,Indonesia,2025-07-23,non_converter
C00594,Singapore,2025-03-04,converter
C00595,Indonesia,2025-08-21,non_converter
C00596,Thailand,2025-04-19,no_touchpoint
C00597,Singapore,2025-11-02,no_touchpoint
C00598,Thailand,2025-01-26,converter
C00599,Singapore,2025-05-05,no_touchpoint
C00600,Indonesia,2025-10-17,no_touchpoint
C00601,Indonesia,2025-10-11,non_converter
C00602,Thailand,2025-04-21,converter
C00603,Indonesia,2025-04-30,no_touchpoint
C00604,Thailand,2025-03-17,non_converter
C00605,Indonesia,2025-11-02,no_touchpoint
C00606,Singapore,2025-03-16,converter
C00607,Indonesia,2025-10-04,non_converter
C00608,Indonesia,2025-03-31,no_touchpoint
C00609,Indonesia,2025-01-14,non_converter
C00610,Thailand,2025-07-03,no_touchpoint
C00611,Indonesia,2025-05-02,no_touchpoint
C00612,Indonesia,2025-01-09,non_converter
C00613,Indonesia,2025-01-27,converter
C00614,Indonesia,2025-08-04,converter
C00615,Indonesia,2025-02-02,non_converter
C00616,Indonesia,2025-07-05,converter
C00617,Indonesia,2025-02-25,converter
C00618,Singapore,2025-04-24,non_converter
C00619,Thailand,2025-01-23,no_touchpoint
C00620,Indonesia,2025-12-04,no_touchpoint
C00621,Thailand,2025-08-23,converter
C00622,Indonesia,2025-01-16,converter
C00623,Thailand,2025-09-03,converter
C00624,Thailand,2025-08-07,non_converter
C00625,Thailand,2025-09-09,converter
C00626,Indonesia,2025-08-16,non_converter
C00627,Indonesia,2025-02-11,converter
C00628,Indonesia,2025-03-17,converter
C00629,Thailand,2025-05-21,non_converter
C00630,Indonesia,2025-10-27,non_converter
C00631,Indonesia,2025-06-16,converter
C00632,Indonesia,2025-11-02,no_touchpoint
C00633,Indonesia,2025-08-21,non_converter
C00634,Indonesia,2025-08-09,converter
C00635,Indonesia,2025-12-26,non_converter
C00636,Thailand,2025-12-02,converter
C00637,Thailand,2025-10-10,no_touchpoint
C00638,Indonesia,2025-04-21,converter
C00639,Indonesia,2025-04-27,converter
C00640,Indonesia,2025-08-21,non_converter
C00641,Indonesia,2025-02-18,non_converter
C00642,Thailand,2025-06-10,converter
C00643,Singapore,2025-07-11,non_converter
C00644,Singapore,2025-12-18,converter
C00645,Indonesia,2025-02-04,non_converter
C00646,Indonesia,2025-02-13,converter
C00647,Thailand,2025-02-19,converter
C00648,Thailand,2025-07-10,non_converter
C00649,Indonesia,2025-10-12,converter
