booking_id,customer_id,booking_timestamp,booking_value,attributed_campaign_id
B000206,C00198,2025-11-14 13:00:00,211.86,CMP005
B000207,C00200,2025-12-27 12:00:00,425.56,CMP001
B000208,C00204,2025-10-02 06:00:00,109.67,CMP001
B000209,C00206,2025-03-01 03:00:00,670.7,CMP004
B000210,C00206,2025-03-08 10:00:00,211.22,CMP002
B000211,C00206,2025-04-07 12:00:00,515.37,CMP001
B000212,C00206,2025-04-21 21:00:00,484.75,CMP003
B000213,C00209,2025-12-19 01:00:00,241.2,CMP001
B000214,C00210,2025-07-13 18:00:00,399.11,CMP002
B000215,C00211,2025-09-26 09:00:00,241.59,CMP005
B000216,C00212,2025-11-20 19:00:00,241.5,CMP002
B000217,C00213,2025-02-12 11:00:00,254.95,CMP002
B000218,C00213,2025-03-14 20:00:00,428.19,CMP001
B000219,C00213,2025-06-13 00:00:00,211.42,CMP001
B000220,C00215,2025-11-05 07:00:00,370.09,CMP002
B000221,C00219,2025-12-09 14:00:00,101.66,CMP001
B000222,C00223,2025-09-15 08:00:00,250.02,
B000223,C00224,2025-11-29 05:00:00,711.59,CMP001
B000224,C00226,2025-08-26 01:00:00,100.0,CMP004
B000225,C00227,2025-04-10 19:00:00,100.0,CMP001
B000226,C00227,2025-06-09 20:00:00,243.51,CMP003
B000227,C00229,2025-02-15 02:00:00,100.0,CMP004
B000228,C00233,2025-09-20 01:00:00,244.93,
B000229,C00238,2025-02-27 07:00:00,336.44,CMP003
B000230,C00238,2025-03-20 17:00:00,118.67,CMP002
B000231,C00239,2025-06-07 06:00:00,629.25,CMP001
B000232,C00242,2025-06-28 03:00:00,320.81,
B000233,C00243,2025-12-01 08:00:00,391.31,CMP001
B000234,C00244,2025-04-02 20:00:00,670.8,
B000235,C00244,2025-04-09 21:00:00,494.38,CMP004
B000236,C00248,2025-12-20 14:00:00,529.32,CMP001
B000237,C00250,2025-05-14 15:00:00,274.25,CMP004
B000238,C00250,2025-06-13 16:00:00,173.84,CMP004
B000239,C00250,2025-07-05 00:00:00,525.79,CMP005
B000240,C00250,2025-08-04 03:00:00,100.0,CMP002
B000241,C00257,2025-11-15 01:00:00,547.21,
B000242,C00258,2025-11-10 14:00:00,209.29,CMP005
B000243,C00258,2025-11-25 02:00:00,688.75,CMP001
B000244,C00258,2025-12-02 12:00:00,221.13,CMP001
B000245,C00260,2025-10-19 14:00:00,240.0,CMP002
B000246,C00260,2025-11-09 20:00:00,153.16,CMP001
B000247,C00262,2025-07-03 15:00:00,450.09,CMP005
B000248,C00262,2025-08-18 00:00:00,185.41,CMP002
B000249,C00262,2025-11-16 12:00:00,405.52,CMP002
B000250,C00263,2025-10-21 16:00:00,255.09,CMP001
B000251,C00265,2025-03-15 03:00:00,106.1,CMP004
B000252,C00265,2025-04-29 13:00:00,155.24,CMP004
B000253,C00267,2025-07-24 10:00:00,133.56,
B000254,C00272,2025-08-15 20:00:00,154.8,CMP003
B000255,C00273,2025-09-23 03:00:00,770.93,CMP004
B000256,C00274,2025-08-18 15:00:00,134.11,CMP003
B000257,C00274,2025-11-16 23:00:00,112.15,
B000258,C00274,2025-12-17 00:00:00,151.52,CMP002
B000259,C00275,2025-11-28 18:00:00,324.81,CMP002
B000260,C00276,2025-01-22 13:00:00,255.28,CMP001
B000261,C00277,2025-11-27 19:00:00,386.82,CMP004
B000262,C00279,2025-06-20 09:00:00,100.0,CMP004
B000263,C00280,2025-09-02 09:00:00,137.94,CMP002
B000264,C00280,2025-09-09 11:00:00,328.21,CMP002
B000265,C00282,2025-06-08 18:00:00,470.84,CMP004
B000266,C00283,2025-06-29 15:00:00,269.34,
B000267,C00287,2025-09-10 12:00:00,147.55,CMP004
B000268,C00287,2025-11-09 14:00:00,389.51,CMP003
B000269,C00288,2025-11-25 10:00:00,175.76,CMP001
B000270,C00289,2025-09-03 12:00:00,568.0,CMP003
B000271,C00289,2025-10-04 00:00:00,222.27,CMP001
B000272,C00289,2025-10-25 02:00:00,367.65,CMP005
B000273,C00289,2025-11-01 10:00:00,329.18,CMP002
B000274,C00293,2025-07-06 06:00:00,235.48,CMP002
B000275,C00294,2025-05-06 08:00:00,540.87,CMP003
B000276,C00294,2025-05-13 10:00:00,964.56,CMP004
B000277,C00294,2025-06-03 20:00:00,552.93,CMP001
B000278,C00297,2025-09-21 15:00:00,524.32,CMP002
B000279,C00298,2025-03-11 08:00:00,608.24,CMP001
B000280,C00300,2025-08-13 15:00:00,433.18,
B000281,C00302,2025-12-29 05:00:00,199.65,CMP001
B000282,C00303,2025-03-06 06:00:00,206.49,CMP002
B000283,C00303,2025-05-05 10:00:00,279.02,
B000284,C00303,2025-08-03 21:00:00,516.16,
B000285,C00304,2025-06-08 20:00:00,1456.37,CMP002
B000286,C00304,2025-07-09 08:00:00,436.14,CMP002
B000287,C00304,2025-08-23 16:00:00,256.7,CMP005
B000288,C00306,2025-05-05 17:00:00,200.73,CMP001
B000289,C00306,2025-05-13 01:00:00,156.5,CMP005
B000290,C00307,2025-04-09 10:00:00,369.17,CMP002
B000291,C00307,2025-05-24 12:00:00,162.52,CMP003
B000292,C00307,2025-05-31 21:00:00,582.14,CMP002
B000293,C00309,2025-05-29 10:00:00,666.22,
B000294,C00310,2025-04-19 09:00:00,193.65,CMP003
B000295,C00310,2025-06-03 18:00:00,274.15,CMP001
B000296,C00310,2025-06-24 22:00:00,401.92,CMP002
B000297,C00312,2025-04-08 03:00:00,374.79,CMP001
B000298,C00319,2025-08-01 03:00:00,594.31,
B000299,C00320,2025-12-24 14:00:00,929.26,CMP001
B000300,C00321,2025-12-05 11:00:00,540.56,
B000301,C00322,2025-07-19 12:00:00,555.41,CMP001
B000302,C00322,2025-09-02 23:00:00,252.64,CMP003
B000303,C00324,2025-11-07 18:00:00,494.45,CMP001
B000304,C00327,2025-08-07 09:00:00,109.64,CMP005
B000305,C00329,2025-09-18 05:00:00,100.0,CMP003
B000306,C00331,2025-07-17 19:00:00,352.25,
B000307,C00335,2025-07-02 18:00:00,1264.6,CMP001
B000308,C00335,2025-07-16 20:00:00,269.38,CMP001
B000309,C00335,2025-08-31 08:00:00,323.86,CMP005
B000310,C00340,2025-02-15 01:00:00,172.4,CMP004
B000311,C00342,2025-05-02 16:00:00,258.66,CMP001
B000312,C00342,2025-06-01 22:00:00,367.21,CMP001
B000313,C00342,2025-06-23 01:00:00,1114.36,
B000314,C00344,2025-12-06 15:00:00,391.02,CMP003
B000315,C00345,2025-07-09 20:00:00,475.91,CMP002
B000316,C00348,2025-08-25 10:00:00,180.14,CMP003
B000317,C00349,2025-06-28 10:00:00,752.6,CMP003
B000318,C00349,2025-07-05 22:00:00,184.72,CMP004
B000319,C00349,2025-07-20 10:00:00,256.34,CMP001
B000320,C00350,2025-12-08 19:00:00,177.48,CMP001
B000321,C00351,2025-09-27 20:00:00,213.2,
B000322,C00351,2025-11-12 00:00:00,198.09,
B000323,C00352,2025-03-18 14:00:00,741.6,CMP003
B000324,C00353,2025-09-23 13:00:00,187.23,CMP003
B000325,C00354,2025-06-16 15:00:00,120.87,CMP001
B000326,C00354,2025-07-31 20:00:00,348.65,CMP002
B000327,C00355,2025-07-21 13:00:00,142.75,CMP002
B000328,C00355,2025-08-04 17:00:00,1020.9,CMP003
B000329,C00356,2025-11-23 16:00:00,131.24,CMP002
B000330,C00357,2025-11-26 06:00:00,191.97,
B000331,C00362,2025-11-29 04:00:00,313.98,CMP001
B000332,C00364,2025-06-02 16:00:00,371.84,CMP004
B000333,C00365,2025-06-23 14:00:00,164.94,CMP002
B000334,C00371,2025-06-18 17:00:00,259.0,CMP001
B000335,C00371,2025-07-18 23:00:00,416.01,CMP008
B000336,C00371,2025-09-02 00:00:00,381.64,
B000337,C00371,2025-09-16 02:00:00,316.25,CMP004
B000338,C00372,2025-03-13 02:00:00,584.45,CMP002
B000339,C00372,2025-04-27 07:00:00,100.0,
B000340,C00372,2025-06-11 16:00:00,425.5,
B000341,C00374,2025-12-28 02:00:00,244.61,CMP001
B000342,C00378,2025-07-15 06:00:00,640.99,CMP004
B000343,C00382,2025-02-19 06:00:00,203.33,CMP001
B000344,C00382,2025-02-26 10:00:00,1086.06,CMP005
B000345,C00382,2025-03-12 18:00:00,316.8,CMP001
B000346,C00386,2025-06-14 05:00:00,338.52,
B000347,C00386,2025-06-21 17:00:00,447.25,CMP002
B000348,C00387,2025-08-14 01:00:00,218.91,CMP004
B000349,C00387,2025-08-28 05:00:00,146.69,CMP003
B000350,C00387,2025-11-26 16:00:00,463.24,
B000351,C00388,2025-12-11 14:00:00,636.56,CMP001
B000352,C00389,2025-11-16 02:00:00,142.63,
B000353,C00391,2025-11-26 17:00:00,203.41,CMP005
B000354,C00393,2025-02-20 02:00:00,126.99,CMP001
B000355,C00394,2025-04-20 05:00:00,170.56,CMP001
B000356,C00395,2025-04-25 10:00:00,901.2,CMP001
B000357,C00395,2025-05-02 22:00:00,655.29,CMP001
B000358,C00395,2025-05-24 03:00:00,773.39,CMP002
B000359,C00396,2025-07-08 08:00:00,378.21,CMP001
B000360,C00399,2025-01-15 14:00:00,281.79,CMP001
B000361,C00400,2025-12-30 12:00:00,521.31,CMP001
B000362,C00401,2025-07-01 15:00:00,183.25,CMP003
B000363,C00401,2025-09-29 21:00:00,612.18,
B000364,C00401,2025-11-29 02:00:00,484.22,
B000365,C00402,2025-06-18 07:00:00,195.55,CMP001
B000366,C00402,2025-09-16 09:00:00,321.78,CMP004
B000367,C00402,2025-10-31 17:00:00,684.7,CMP003
B000368,C00402,2025-11-08 04:00:00,140.41,CMP003
B000369,C00404,2025-03-22 19:00:00,393.28,
B000370,C00404,2025-04-06 02:00:00,182.89,CMP002
B000371,C00404,2025-04-13 13:00:00,327.29,CMP003
B000372,C00405,2025-05-28 05:00:00,508.19,CMP001
B000373,C00405,2025-07-12 06:00:00,397.37,CMP003
B000374,C00406,2025-12-26 16:00:00,179.15,CMP004
B000375,C00407,2025-05-16 18:00:00,366.64,CMP002
B000376,C00407,2025-06-30 20:00:00,655.59,CMP002
B000377,C00407,2025-07-15 00:00:00,222.47,CMP001
B000378,C00411,2025-04-14 11:00:00,267.81,CMP003
B000379,C00412,2025-12-19 15:00:00,292.79,CMP001
B000380,C00414,2025-09-13 12:00:00,426.14,CMP001
B000381,C00414,2025-10-04 20:00:00,504.87,CMP002
B000382,C00414,2025-10-26 02:00:00,651.41,CMP001
B000383,C00416,2025-09-07 12:00:00,100.0,
B000384,C00417,2025-11-04 13:00:00,100.0,CMP001
B000385,C00417,2025-11-11 21:00:00,123.49,CMP002
B000386,C00424,2025-03-12 10:00:00,816.99,CMP002
B000387,C00426,2025-12-13 11:00:00,413.36,CMP004
B000388,C00427,2025-05-02 11:00:00,356.63,CMP002
B000389,C00427,2025-05-23 17:00:00,289.16,CMP005
B000390,C00428,2025-12-16 02:00:00,443.98,CMP001
B000391,C00429,2025-06-15 15:00:00,151.25,CMP004
B000392,C00429,2025-09-14 00:00:00,100.0,CMP002
B000393,C00429,2025-11-13 04:00:00,1007.75,
B000394,C00429,2025-12-04 09:00:00,270.52,CMP001
B000395,C00433,2025-08-02 09:00:00,107.41,CMP001
B000396,C00433,2025-08-09 15:00:00,611.83,CMP001
B000397,C00434,2025-03-24 16:00:00,362.01,CMP001
B000398,C00436,2025-11-02 01:00:00,100.0,CMP003
B000399,C00436,2025-12-17 06:00:00,1825.53,
B000400,C00437,2025-08-21 10:00:00,266.68,CMP003
B000401,C00439,2025-02-27 04:00:00,186.16,CMP002
B000402,C00439,2025-04-28 08:00:00,175.33,CMP002
B000403,C00439,2025-05-19 16:00:00,162.03,CMP004
B000404,C00439,2025-08-18 03:00:00,467.16,CMP005
B000405,C00441,2025-08-29 18:00:00,266.4,CMP002
B000406,C00441,2025-09-12 23:00:00,447.14,CMP003
B000407,C00441,2025-09-20 02:00:00,208.43,CMP001
B000408,C00443,2025-10-26 02:00:00,100.0,CMP002
B000409,C00444,2025-03-11 02:00:00,135.27,CMP003
B000410,C00444,2025-04-25 03:00:00,356.36,
B000411,C00444,2025-06-24 05:00:00,391.9,CMP001
B000412,C00447,2025-02-22 12:00:00,193.99,CMP003
B000413,C00448,2025-10-22 19:00:00,100.0,CMP003
B000414,C00448,2025-11-06 01:00:00,227.4,CMP002
B000415,C00451,2025-01-28 15:00:00,582.83,CMP004
B000416,C00451,2025-02-28 02:00:00,265.23,CMP004
B000417,C00454,2025-10-22 01:00:00,498.02,CMP001
B000418,C00454,2025-12-06 11:00:00,307.67,CMP001
B000419,C00454,2025-12-27 12:00:00,100.0,CMP004
B000420,C00455,2025-08-11 08:00:00,929.84,CMP001
B000421,C00456,2025-03-08 08:00:00,100.0,CMP001
B000422,C00458,2025-04-19 14:00:00,105.77,CMP002
B000423,C00458,2025-05-10 23:00:00,285.37,CMP001
B000424,C00458,2025-05-18 11:00:00,296.8,CMP005
B000425,C00458,2025-07-17 14:00:00,100.0,CMP001
B000426,C00459,2025-06-15 08:00:00,139.68,CMP001
B000427,C00459,2025-08-14 12:00:00,152.19,
B000428,C00459,2025-10-13 21:00:00,395.58,CMP002
B000429,C00460,2025-07-13 02:00:00,100.0,CMP001
B000430,C00460,2025-10-11 10:00:00,340.94,CMP003
B000431,C00464,2025-11-13 14:00:00,242.42,CMP004
B000432,C00466,2025-05-29 12:00:00,345.67,CMP001
B000433,C00468,2025-11-16 13:00:00,223.66,CMP002
B000434,C00470,2025-07-28 08:00:00,166.8,CMP005
B000435,C00470,2025-08-04 16:00:00,100.0,CMP003
B000436,C00471,2025-12-03 01:00:00,630.79,CMP001
B000437,C00473,2025-08-28 09:00:00,443.52,CMP002
B000438,C00474,2025-07-15 08:00:00,180.49,CMP004
B000439,C00476,2025-08-11 13:00:00,202.57,CMP003
B000440,C00476,2025-09-10 18:00:00,136.04,CMP004
B000441,C00478,2025-08-31 06:00:00,194.36,CMP001
B000442,C00478,2025-10-30 07:00:00,632.22,CMP004
B000443,C00482,2025-12-22 17:00:00,533.65,CMP001
B000444,C00484,2025-11-10 05:00:00,473.93,CMP002
B000445,C00484,2025-12-01 17:00:00,206.84,CMP004
B000446,C00488,2025-09-29 04:00:00,790.69,
B000447,C00488,2025-10-13 08:00:00,250.97,CMP001
B000448,C00490,2025-04-26 16:00:00,478.74,CMP001
B000449,C00490,2025-05-11 01:00:00,201.09,CMP004
B000450,C00492,2025-03-13 14:00:00,551.01,CMP002
B000451,C00492,2025-04-13 02:00:00,276.2,
B000452,C00492,2025-04-20 09:00:00,100.0,CMP003
B000453,C00493,2025-05-25 13:00:00,170.89,CMP003
B000454,C00493,2025-06-15 16:00:00,351.17,CMP002
B000455,C00495,2025-02-25 09:00:00,238.35,CMP002
B000456,C00495,2025-04-11 11:00:00,221.6,CMP001
B000457,C00497,2025-08-24 04:00:00,664.22,CMP004
B000458,C00499,2025-10-28 13:00:00,313.98,CMP001
B000459,C00500,2025-02-14 13:00:00,305.5,CMP004
B000460,C00502,2025-07-21 01:00:00,482.44,CMP002
B000461,C00503,2025-04-04 09:00:00,242.83,CMP001
B000462,C00503,2025-04-25 12:00:00,512.59,CMP001
B000463,C00503,2025-05-09 19:00:00,301.82,CMP001
B000464,C00503,2025-08-07 23:00:00,298.81,CMP003
B000465,C00506,2025-09-10 09:00:00,370.41,CMP002
B000466,C00506,2025-10-01 19:00:00,226.84,CMP002
B000467,C00507,2025-06-11 01:00:00,100.0,CMP003
B000468,C00507,2025-07-11 12:00:00,690.95,CMP001
B000469,C00507,2025-08-25 20:00:00,549.86,CMP002
B000470,C00508,2025-03-21 15:00:00,1186.94,CMP003
B000471,C00508,2025-04-21 00:00:00,186.23,CMP004
B000472,C00508,2025-07-20 01:00:00,620.49,
