touchpoint_id,customer_id,timestamp,channel_id,campaign_id
T000096,C00020,2025-02-17 03:00:00,CH02,CMP003
T000097,C00020,2025-02-28 15:00:00,CH04,
T000098,C00020,2025-03-01 08:00:00,CH01,CMP002
T000099,C00020,2025-03-12 14:00:00,CH05,
T000100,C00020,2025-03-13 17:00:00,CH02,CMP004
T000101,C00020,2025-03-20 17:00:00,CH02,CMP003
T000102,C00020,2025-03-26 06:00:00,CH04,
T000103,C00020,2025-03-27 18:00:00,CH01,CMP001
T000104,C00022,2025-07-31 22:00:00,CH02,CMP003
T000105,C00022,2025-08-11 19:00:00,CH04,
T000106,C00022,2025-08-13 19:00:00,CH03,CMP005
T000107,C00022,2025-08-17 16:00:00,CH01,CMP002
T000108,C00022,2025-08-18 22:00:00,CH01,CMP001
T000109,C00022,2025-08-20 20:00:00,CH01,CMP001
T000110,C00023,2025-06-18 01:00:00,CH02,CMP003
T000111,C00023,2025-07-03 06:00:00,CH02,CMP004
T000112,C00023,2025-07-13 23:00:00,CH03,CMP005
T000113,C00023,2025-07-18 15:00:00,CH01,CMP002
T000114,C00023,2025-07-22 08:00:00,CH02,CMP003
T000115,C00024,2025-11-18 04:00:00,CH02,CMP003
T000116,C00024,2025-11-18 14:00:00,CH02,CMP004
T000117,C00024,2025-11-20 12:00:00,CH05,
T000118,C00024,2025-11-20 14:00:00,CH01,CMP002
T000119,C00024,2025-11-20 20:00:00,CH04,
T000120,C00024,2025-11-21 06:00:00,CH01,CMP001
T000121,C00024,2025-11-25 15:00:00,CH05,
T000122,C00025,2025-07-19 15:00:00,CH03,CMP005
T000123,C00025,2025-07-26 14:00:00,CH04,
T000124,C00025,2025-08-01 23:00:00,CH05,
T000125,C00025,2025-08-03 10:00:00,CH03,CMP005
T000126,C00025,2025-08-03 11:00:00,CH01,CMP002
T000127,C00025,2025-08-18 13:00:00,CH02,CMP004
T000128,C00025,2025-08-20 13:00:00,CH04,
T000129,C00025,2025-08-29 06:00:00,CH04,
T000130,C00025,2025-08-30 03:00:00,CH02,CMP003
T000131,C00025,2025-08-31 03:00:00,CH05,
T000132,C00025,2025-09-05 05:00:00,CH05,
T000133,C00025,2025-09-05 16:00:00,CH05,
T000134,C00025,2025-09-05 20:00:00,CH02,CMP004
T000135,C00025,2025-09-07 12:00:00,CH02,CMP004
T000136,C00027,2025-12-08 03:00:00,CH02,CMP004
T000137,C00027,2025-12-08 16:00:00,CH02,CMP003
T000138,C00027,2025-12-11 05:00:00,CH04,
T000139,C00027,2025-12-13 17:00:00,CH02,CMP003
T000140,C00028,2025-06-09 21:00:00,CH02,CMP003
T000141,C00029,2025-05-03 08:00:00,CH02,CMP003
T000142,C00029,2025-05-06 09:00:00,CH02,CMP003
T000143,C00029,2025-05-07 01:00:00,CH04,
T000144,C00029,2025-06-07 02:00:00,CH01,CMP001
T000145,C00029,2025-06-17 00:00:00,CH01,CMP001
T000146,C00029,2025-06-20 20:00:00,CH04,
T000147,C00029,2025-07-19 01:00:00,CH05,
T000148,C00029,2025-07-31 22:00:00,CH02,CMP004
T000149,C00029,2025-08-14 14:00:00,CH02,CMP003
T000150,C00029,2025-08-20 00:00:00,CH04,
T000151,C00030,2025-07-17 13:00:00,CH05,
T000152,C00030,2025-07-20 11:00:00,CH04,
T000153,C00030,2025-07-22 17:00:00,CH04,
T000154,C00030,2025-07-23 06:00:00,CH02,CMP003
T000155,C00030,2025-07-31 11:00:00,CH01,CMP002
T000156,C00030,2025-07-31 14:00:00,CH02,CMP004
T000157,C00030,2025-08-04 14:00:00,CH02,CMP004
T000158,C00030,2025-08-06 18:00:00,CH02,CMP003
T000159,C00030,2025-08-19 12:00:00,CH02,CMP004
T000160,C00030,2025-10-03 14:00:00,CH04,
T000161,C00031,2025-11-24 15:00:00,CH04,
T000162,C00031,2025-11-25 02:00:00,CH02,CMP003
T000163,C00031,2025-11-27 20:00:00,CH05,
T000164,C00032,2025-04-14 01:00:00,CH01,CMP001
T000165,C00032,2025-04-22 14:00:00,CH01,CMP002
T000166,C00032,2025-05-01 13:00:00,CH04,
T000167,C00032,2025-05-13 08:00:00,CH01,CMP001
T000168,C00032,2025-05-15 04:00:00,CH02,CMP003
T000169,C00032,2025-05-15 07:00:00,CH04,
T000170,C00032,2025-05-15 20:00:00,CH04,
T000171,C00032,2025-05-27 10:00:00,CH01,CMP002
T000172,C00032,2025-05-30 10:00:00,CH01,CMP002
T000173,C00032,2025-06-03 07:00:00,CH01,CMP002
T000174,C00032,2025-06-05 06:00:00,CH02,CMP004
T000175,C00032,2025-06-28 11:00:00,CH04,
T000176,C00032,2025-06-30 00:00:00,CH02,CMP004
T000177,C00033,2025-04-21 14:00:00,CH02,CMP004
T000178,C00033,2025-04-24 08:00:00,CH05,
T000179,C00033,2025-04-24 10:00:00,CH03,CMP005
T000180,C00033,2025-04-26 00:00:00,CH01,CMP002
T000181,C00033,2025-04-26 10:00:00,CH03,CMP005
T000182,C00034,2025-12-29 19:00:00,CH01,CMP002
T000183,C00035,2025-12-03 23:00:00,CH02,CMP003
T000184,C00035,2025-12-06 09:00:00,CH02,CMP004
T000185,C00035,2025-12-07 21:00:00,CH05,
T000186,C00035,2025-12-11 07:00:00,CH02,CMP003
T000187,C00035,2025-12-11 22:00:00,CH04,
T000188,C00035,2025-12-13 23:00:00,CH01,CMP002
T000189,C00036,2025-11-25 02:00:00,CH01,CMP001
T000190,C00036,2025-11-26 19:00:00,CH05,
T000191,C00036,2025-11-28 14:00:00,CH02,CMP003
T000192,C00037,2025-05-08 18:00:00,CH01,CMP001
T000193,C00037,2025-05-09 19:00:00,CH03,CMP005
T000194,C00037,2025-05-11 00:00:00,CH04,
T000195,C00037,2025-05-11 19:00:00,CH01,CMP002
T000196,C00040,2025-05-04 12:00:00,CH01,CMP002
T000197,C00040,2025-05-09 23:00:00,CH02,CMP004
T000198,C00040,2025-05-25 09:00:00,CH02,CMP003
T000199,C00040,2025-06-16 08:00:00,CH05,
T000200,C00040,2025-06-22 18:00:00,CH04,
T000201,C00040,2025-07-08 21:00:00,CH03,CMP005
T000202,C00040,2025-07-13 09:00:00,CH01,CMP001
T000203,C00040,2025-08-22 23:00:00,CH02,CMP004
T000204,C00040,2025-08-23 11:00:00,CH01,CMP002
T000205,C00040,2025-08-26 21:00:00,CH01,CMP001
T000206,C00040,2025-08-29 22:00:00,CH05,
T000207,C00040,2025-08-30 21:00:00,CH01,CMP001
T000208,C00040,2025-10-09 10:00:00,CH02,CMP003
T000209,C00040,2025-10-30 10:00:00,CH01,CMP001
T000210,C00040,2025-11-05 16:00:00,CH01,CMP001
T000211,C00040,2025-11-13 07:00:00,CH01,CMP001
T000212,C00040,2025-11-22 21:00:00,CH03,CMP005
T000213,C00040,2025-11-24 02:00:00,CH03,CMP005
T000214,C00041,2025-02-15 02:00:00,CH05,
T000215,C00041,2025-02-17 13:00:00,CH02,CMP004
T000216,C00041,2025-02-22 22:00:00,CH02,CMP004
T000217,C00041,2025-02-23 11:00:00,CH01,CMP002
T000218,C00042,2025-01-21 07:00:00,CH01,CMP001
T000219,C00042,2025-01-22 16:00:00,CH02,CMP004
T000220,C00043,2025-08-10 06:00:00,CH02,CMP003
T000221,C00044,2025-04-19 10:00:00,CH02,CMP003
T000222,C00044,2025-04-22 09:00:00,CH01,CMP001
T000223,C00044,2025-04-24 15:00:00,CH01,CMP001
T000224,C00044,2025-04-24 20:00:00,CH04,
T000225,C00045,2025-10-24 15:00:00,CH05,
T000226,C00045,2025-10-26 08:00:00,CH03,CMP005
T000227,C00045,2025-10-28 13:00:00,CH02,CMP003
T000228,C00046,2025-06-14 15:00:00,CH02,CMP004
T000229,C00046,2025-06-14 23:00:00,CH05,
T000230,C00046,2025-06-19 20:00:00,CH04,
T000231,C00046,2025-06-23 06:00:00,CH02,CMP003
T000232,C00046,2025-06-26 09:00:00,CH04,
T000233,C00046,2025-06-27 05:00:00,CH04,
T000234,C00046,2025-07-06 20:00:00,CH01,CMP001
T000235,C00046,2025-07-06 21:00:00,CH05,
T000236,C00046,2025-07-11 11:00:00,CH04,
T000237,C00046,2025-07-11 14:00:00,CH01,CMP002
T000238,C00046,2025-08-07 06:00:00,CH02,CMP004
T000239,C00046,2025-08-09 14:00:00,CH04,
T000240,C00046,2025-09-23 16:00:00,CH02,CMP004
T000241,C00046,2025-09-28 21:00:00,CH02,CMP004
T000242,C00046,2025-09-30 15:00:00,CH01,CMP002
T000243,C00046,2025-09-30 16:00:00,CH04,
T000244,C00046,2025-10-02 13:00:00,CH01,CMP002
T000245,C00046,2025-10-02 14:00:00,CH01,CMP001
T000246,C00047,2025-09-26 07:00:00,CH02,CMP003
T000247,C00047,2025-11-07 07:00:00,CH04,
T000248,C00047,2025-12-01 14:00:00,CH01,CMP002
T000249,C00049,2025-05-23 16:00:00,CH02,CMP004
T000250,C00049,2025-05-23 23:00:00,CH01,CMP001
T000251,C00049,2025-05-24 09:00:00,CH02,CMP003
T000252,C00050,2025-11-03 20:00:00,CH03,CMP005
T000253,C00050,2025-11-14 14:00:00,CH05,
T000254,C00050,2025-11-20 07:00:00,CH01,CMP001
T000255,C00050,2025-11-20 14:00:00,CH05,
T000256,C00051,2025-10-28 01:00:00,CH03,CMP005
T000257,C00051,2025-11-04 05:00:00,CH01,CMP002
T000258,C00051,2025-11-07 08:00:00,CH05,
T000259,C00051,2025-11-08 05:00:00,CH02,CMP003
T000260,C00051,2025-11-09 18:00:00,CH01,CMP002
T000261,C00053,2025-05-11 14:00:00,CH02,CMP004
T000262,C00053,2025-05-25 18:00:00,CH02,CMP003
T000263,C00053,2025-05-29 03:00:00,CH02,CMP004
T000264,C00054,2025-03-15 08:00:00,CH02,CMP004
T000265,C00055,2025-02-16 19:00:00,CH04,
T000266,C00055,2025-02-21 19:00:00,CH01,CMP001
T000267,C00055,2025-02-24 21:00:00,CH04,
T000268,C00055,2025-02-26 05:00:00,CH03,CMP005
T000269,C00055,2025-02-26 09:00:00,CH01,CMP002
T000270,C00056,2025-03-02 14:00:00,CH05,
T000271,C00056,2025-03-04 17:00:00,CH01,CMP001
T000272,C00056,2025-03-07 03:00:00,CH02,CMP004
T000273,C00056,2025-03-08 16:00:00,CH05,
T000274,C00057,2025-04-08 10:00:00,CH05,
T000275,C00058,2025-08-12 00:00:00,CH05,
T000276,C00058,2025-08-15 14:00:00,CH04,
T000277,C00058,2025-08-18 18:00:00,CH04,
T000278,C00059,2025-07-28 01:00:00,CH03,CMP005
T000279,C00059,2025-07-30 18:00:00,CH04,
T000280,C00059,2025-08-13 15:00:00,CH01,CMP002
T000281,C00059,2025-08-15 02:00:00,CH01,CMP002
T000282,C00060,2025-09-01 15:00:00,CH01,CMP001
T000283,C00060,2025-09-11 04:00:00,CH02,CMP004
T000284,C00060,2025-09-14 10:00:00,CH04,
T000285,C00061,2025-10-13 21:00:00,CH03,CMP005
T000286,C00062,2025-01-09 11:00:00,CH03,CMP005
T000287,C00062,2025-01-10 21:00:00,CH01,CMP002
T000288,C00062,2025-01-12 09:00:00,CH04,
T000289,C00063,2025-03-01 14:00:00,CH02,CMP004
T000290,C00063,2025-03-06 03:00:00,CH01,CMP001
T000291,C00063,2025-03-12 10:00:00,CH01,CMP001
T000292,C00063,2025-03-15 13:00:00,CH02,CMP004
T000293,C00063,2025-03-16 02:00:00,CH03,CMP005
T000294,C00064,2025-10-09 16:00:00,CH01,CMP001
T000295,C00064,2025-10-24 06:00:00,CH02,CMP004
T000296,C00064,2025-11-02 01:00:00,CH02,CMP004
T000297,C00064,2025-11-06 13:00:00,CH01,CMP002
T000298,C00064,2025-11-07 17:00:00,CH02,CMP003
T000299,C00064,2025-11-18 14:00:00,CH01,CMP001
T000300,C00064,2025-11-28 17:00:00,CH03,CMP005
T000301,C00064,2025-12-14 05:00:00,CH01,CMP002
T000302,C00064,2025-12-16 13:00:00,CH04,
T000303,C00065,2025-11-29 11:00:00,CH01,CMP001
T000304,C00065,2025-11-29 15:00:00,CH02,CMP004
T000305,C00066,2025-06-01 23:00:00,CH01,CMP001
T000306,C00066,2025-06-04 03:00:00,CH05,
T000307,C00066,2025-06-06 22:00:00,CH05,
T000308,C00066,2025-06-07 23:00:00,CH05,
T000309,C00066,2025-06-08 17:00:00,CH01,CMP001
T000310,C00068,2025-05-31 18:00:00,CH05,
T000311,C00068,2025-06-12 12:00:00,CH01,CMP002
T000312,C00068,2025-06-17 17:00:00,CH01,CMP002
T000313,C00069,2025-04-05 00:00:00,CH02,CMP004
T000314,C00069,2025-04-05 21:00:00,CH01,CMP001
T000315,C00069,2025-04-06 04:00:00,CH02,CMP004
T000316,C00069,2025-04-08 07:00:00,CH01,CMP001
T000317,C00069,2025-04-08 18:00:00,CH01,CMP001
T000318,C00070,2025-02-24 22:00:00,CH01,CMP002
T000319,C00070,2025-03-01 17:00:00,CH02,CMP003
T000320,C00070,2025-03-04 06:00:00,CH01,CMP002
T000321,C00070,2025-03-04 10:00:00,CH01,CMP001
T000322,C00070,2025-03-17 06:00:00,CH04,
T000323,C00070,2025-03-17 18:00:00,CH01,CMP001
T000324,C00070,2025-03-26 20:00:00,CH03,CMP005
T000325,C00070,2025-03-27 17:00:00,CH01,CMP001
T000326,C00070,2025-03-28 09:00:00,CH02,CMP003
T000327,C00070,2025-03-31 03:00:00,CH04,
T000328,C00070,2025-04-16 19:00:00,CH01,CMP002
T000329,C00070,2025-04-26 14:00:00,CH01,CMP002
T000330,C00070,2025-04-30 14:00:00,CH04,
T000331,C00070,2025-05-02 18:00:00,CH02,CMP004
T000332,C00071,2025-06-06 10:00:00,CH02,CMP003
T000333,C00071,2025-06-09 06:00:00,CH02,CMP003
T000334,C00071,2025-06-10 22:00:00,CH01,CMP002
T000335,C00071,2025-06-12 09:00:00,CH05,
T000336,C00072,2025-09-20 03:00:00,CH02,CMP003
T000337,C00072,2025-09-21 17:00:00,CH01,CMP001
T000338,C00072,2025-09-23 12:00:00,CH05,
T000339,C00073,2025-03-24 15:00:00,CH04,
T000340,C00073,2025-03-25 05:00:00,CH01,CMP001
T000341,C00073,2025-03-26 16:00:00,CH01,CMP002
T000342,C00073,2025-03-29 14:00:00,CH04,
T000343,C00074,2025-03-27 18:00:00,CH02,CMP003
T000344,C00075,2025-10-08 10:00:00,CH01,CMP001
T000345,C00075,2025-10-16 19:00:00,CH01,CMP002
T000346,C00075,2025-10-22 10:00:00,CH01,CMP002
T000347,C00075,2025-10-27 16:00:00,CH04,
T000348,C00075,2025-10-27 17:00:00,CH02,CMP003
T000349,C00075,2025-11-05 02:00:00,CH04,
T000350,C00075,2025-11-06 06:00:00,CH04,
T000351,C00075,2025-11-07 02:00:00,CH01,CMP002
T000352,C00075,2025-11-07 16:00:00,CH01,CMP001
T000353,C00075,2025-11-16 17:00:00,CH03,CMP005
T000354,C00075,2025-11-18 12:00:00,CH01,CMP001
T000355,C00075,2025-11-19 15:00:00,CH01,CMP002
T000356,C00075,2025-11-20 03:00:00,CH03,CMP005
T000357,C00075,2025-11-21 05:00:00,CH01,CMP001
T000358,C00077,2025-01-11 11:00:00,CH05,
T000359,C00078,2025-07-08 22:00:00,CH01,CMP001
T000360,C00078,2025-07-10 14:00:00,CH02,CMP004
T000361,C00078,2025-07-10 23:00:00,CH05,
T000362,C00078,2025-07-11 16:00:00,CH01,CMP002
T000363,C00078,2025-07-12 17:00:00,CH02,CMP004
T000364,C00079,2025-06-09 10:00:00,CH04,
T000365,C00080,2025-05-12 21:00:00,CH01,CMP001
T000366,C00080,2025-05-17 22:00:00,CH04,
T000367,C00080,2025-05-18 20:00:00,CH04,
T000368,C00080,2025-05-20 02:00:00,CH01,CMP002
T000369,C00080,2025-05-21 09:00:00,CH02,CMP003
T000370,C00080,2025-06-11 14:00:00,CH02,CMP003
T000371,C00080,2025-06-25 19:00:00,CH01,CMP001
T000372,C00080,2025-06-28 21:00:00,CH02,CMP004
T000373,C00080,2025-07-16 15:00:00,CH05,
T000374,C00080,2025-07-18 09:00:00,CH01,CMP001
T000375,C00080,2025-07-21 15:00:00,CH02,CMP003
T000376,C00080,2025-07-23 10:00:00,CH02,CMP003
T000377,C00080,2025-07-23 14:00:00,CH04,
T000378,C00080,2025-08-10 02:00:00,CH01,CMP001
T000379,C00080,2025-09-02 20:00:00,CH01,CMP002
T000380,C00080,2025-09-28 03:00:00,CH01,CMP001
T000381,C00081,2025-02-13 02:00:00,CH01,CMP002
T000382,C00081,2025-02-15 01:00:00,CH02,CMP004
T000383,C00081,2025-02-16 12:00:00,CH02,CMP004
T000384,C00082,2025-09-10 06:00:00,CH05,
T000385,C00083,2025-10-10 11:00:00,CH01,CMP001
T000386,C00083,2025-10-11 23:00:00,CH01,CMP002
T000387,C00083,2025-10-12 18:00:00,CH03,CMP005
T000388,C00083,2025-10-15 19:00:00,CH05,
T000389,C00084,2025-03-12 12:00:00,CH01,CMP001
T000390,C00086,2025-10-01 15:00:00,CH03,CMP005
T000391,C00086,2025-10-04 11:00:00,CH02,CMP004
T000392,C00086,2025-10-05 07:00:00,CH01,CMP002
T000393,C00086,2025-10-05 22:00:00,CH02,CMP004
T000394,C00087,2025-08-09 05:00:00,CH02,CMP003
T000395,C00087,2025-08-31 15:00:00,CH02,CMP003
T000396,C00087,2025-09-14 15:00:00,CH01,CMP002
T000397,C00087,2025-09-20 15:00:00,CH05,
T000398,C00087,2025-09-21 09:00:00,CH03,CMP005
T000399,C00087,2025-09-21 20:00:00,CH01,CMP001
T000400,C00087,2025-10-02 17:00:00,CH01,CMP002
T000401,C00087,2025-10-03 21:00:00,CH01,CMP001
T000402,C00087,2025-10-04 04:00:00,CH05,
T000403,C00087,2025-10-05 17:00:00,CH01,CMP002
T000404,C00087,2025-10-06 08:00:00,CH04,
T000405,C00087,2025-10-06 12:00:00,CH01,CMP001
T000406,C00087,2025-10-11 04:00:00,CH02,CMP003
T000407,C00087,2025-10-12 02:00:00,CH04,
T000408,C00087,2025-10-13 08:00:00,CH01,CMP001
T000409,C00087,2025-10-14 05:00:00,CH01,CMP001
T000410,C00088,2025-10-24 04:00:00,CH04,
T000411,C00088,2025-11-12 05:00:00,CH03,CMP005
T000412,C00088,2025-11-22 04:00:00,CH01,CMP002
T000413,C00088,2025-11-24 04:00:00,CH02,CMP004
T000414,C00088,2025-11-27 06:00:00,CH01,CMP002
T000415,C00088,2025-11-29 02:00:00,CH02,CMP003
T000416,C00089,2025-12-23 01:00:00,CH01,CMP001
T000417,C00089,2025-12-24 18:00:00,CH02,CMP004
T000418,C00089,2025-12-26 06:00:00,CH02,CMP004
T000419,C00089,2025-12-28 12:00:00,CH04,
T000420,C00089,2025-12-28 16:00:00,CH01,CMP002
T000421,C00090,2025-06-12 14:00:00,CH01,CMP002
T000422,C00090,2025-07-02 17:00:00,CH05,
T000423,C00090,2025-07-13 18:00:00,CH01,CMP002
T000424,C00090,2025-07-16 13:00:00,CH04,
T000425,C00090,2025-08-04 08:00:00,CH04,
T000426,C00090,2025-08-09 15:00:00,CH02,CMP004
T000427,C00090,2025-08-13 17:00:00,CH01,CMP002
T000428,C00090,2025-08-28 03:00:00,CH01,CMP001
T000429,C00090,2025-08-28 07:00:00,CH01,CMP002
T000430,C00090,2025-08-31 06:00:00,CH01,CMP001
T000431,C00090,2025-09-04 01:00:00,CH05,
T000432,C00090,2025-09-07 08:00:00,CH01,CMP002
T000433,C00090,2025-09-14 07:00:00,CH01,CMP002
T000434,C00090,2025-09-14 21:00:00,CH03,CMP005
T000435,C00090,2025-09-15 05:00:00,CH04,
T000436,C00090,2025-09-16 16:00:00,CH01,CMP002
T000437,C00090,2025-09-17 00:00:00,CH01,CMP002
T000438,C00090,2025-09-17 04:00:00,CH01,CMP001
T000439,C00091,2025-12-15 00:00:00,CH01,CMP002
T000440,C00091,2025-12-15 09:00:00,CH02,CMP003
T000441,C00091,2025-12-16 10:00:00,CH01,CMP002
T000442,C00091,2025-12-17 16:00:00,CH01,CMP002
T000443,C00091,2025-12-19 19:00:00,CH04,
T000444,C00092,2025-08-28 08:00:00,CH02,CMP003
T000445,C00092,2025-09-05 18:00:00,CH01,CMP001
T000446,C00092,2025-09-18 21:00:00,CH02,CMP004
T000447,C00092,2025-09-21 11:00:00,CH01,CMP001
T000448,C00094,2025-05-01 17:00:00,CH02,CMP003
T000449,C00094,2025-05-15 08:00:00,CH01,CMP001
T000450,C00097,2025-01-07 00:00:00,CH01,CMP002
T000451,C00097,2025-02-22 19:00:00,CH04,
T000452,C00097,2025-03-16 03:00:00,CH02,CMP003
T000453,C00097,2025-05-25 12:00:00,CH01,CMP002
T000454,C00097,2025-06-16 13:00:00,CH05,
T000455,C00097,2025-06-16 20:00:00,CH05,
T000456,C00097,2025-06-24 14:00:00,CH04,
T000457,C00097,2025-09-07 16:00:00,CH01,CMP001
T000458,C00098,2025-12-08 04:00:00,CH03,CMP005
T000459,C00098,2025-12-14 12:00:00,CH03,CMP005
T000460,C00098,2025-12-15 17:00:00,CH01,CMP001
T000461,C00098,2025-12-16 11:00:00,CH01,CMP001
T000462,C00098,2025-12-19 02:00:00,CH01,CMP001
T000463,C00099,2025-02-17 13:00:00,CH02,CMP003
T000464,C00099,2025-02-24 10:00:00,CH05,
T000465,C00099,2025-02-26 16:00:00,CH04,
T000466,C00100,2025-06-23 20:00:00,CH02,CMP004
T000467,C00100,2025-06-25 09:00:00,CH01,CMP001
T000468,C00100,2025-06-26 22:00:00,CH02,CMP008
T000469,C00102,2025-09-18 00:00:00,CH04,
T000470,C00102,2025-09-26 23:00:00,CH05,
T000471,C00102,2025-09-29 11:00:00,CH01,CMP002
T000472,C00102,2025-09-30 08:00:00,CH04,
T000473,C00102,2025-09-30 14:00:00,CH01,CMP001
T000474,C00102,2025-10-26 04:00:00,CH01,CMP002
T000475,C00102,2025-10-31 01:00:00,CH01,CMP001
T000476,C00102,2025-11-17 13:00:00,CH01,CMP002
T000477,C00102,2025-11-26 12:00:00,CH05,
T000478,C00102,2025-12-02 09:00:00,CH01,CMP002
T000479,C00102,2025-12-12 20:00:00,CH01,CMP001
T000480,C00102,2025-12-16 00:00:00,CH04,
T000481,C00102,2025-12-17 05:00:00,CH02,CMP004
T000482,C00103,2025-03-14 01:00:00,CH01,CMP001
